seed,branch,F,R,C,FR,RC,FC,FRC,overall
11,rel_only,0.6833333373069763,0.5333333611488342,0.46666666865348816,0.6916666626930237,0.5249999761581421,0.5083333253860474,0.4833333194255829,0.5559523701667786
11,feat_only,0.75,0.5916666388511658,0.4833333194255829,0.5166666507720947,0.42500001192092896,0.5,0.49166667461395264,0.5369047522544861
11,ctx_only,0.75,0.5083333253860474,0.9916666746139526,0.5083333253860474,0.5083333253860474,0.5166666507720947,0.8083333373069763,0.6559523940086365
23,rel_only,0.5,0.4333333373069763,0.4333333373069763,0.7416666746139526,0.5666666626930237,0.46666666865348816,0.49166667461395264,0.5190476179122925
23,feat_only,0.25,0.4416666626930237,0.375,0.4749999940395355,0.5249999761581421,0.44999998807907104,0.5166666507720947,0.4333333373069763
23,ctx_only,0.5,0.5166666507720947,1.0,0.2750000059604645,0.5083333253860474,0.5083333253860474,0.800000011920929,0.586904764175415
37,rel_only,0.5,0.49166667461395264,0.5166666507720947,0.7250000238418579,0.6083333492279053,0.5,0.4416666626930237,0.5404762029647827
37,feat_only,1.0,0.5,0.5583333373069763,0.7916666865348816,0.5416666865348816,0.4833333194255829,0.4416666626930237,0.6166666746139526
37,ctx_only,0.25,0.6416666507720947,0.9916666746139526,0.2750000059604645,0.5916666388511658,0.5083333253860474,0.7666666507720947,0.574999988079071
