seed,representation,F,R,C,FR,RC,FC,FRC,overall
11,input,1.0,0.550000011920929,0.5583333373069763,0.7416666746139526,0.5249999761581421,0.4749999940395355,0.4583333432674408,0.6154761910438538
11,feat_delta,0.75,0.5416666865348816,0.4749999940395355,0.5916666388511658,0.6000000238418579,0.5,0.5166666507720947,0.5678571462631226
11,rel_delta,0.75,0.5666666626930237,0.5083333253860474,0.5083333253860474,0.4749999940395355,0.5166666507720947,0.44999998807907104,0.5392857193946838
11,ctx_delta,0.75,0.5583333373069763,0.9916666746139526,0.5083333253860474,0.5083333253860474,0.5166666507720947,0.8083333373069763,0.663095235824585
11,scaled_sum,0.75,0.5583333373069763,0.875,0.550000011920929,0.4749999940395355,0.5083333253860474,0.7333333492279053,0.6357142925262451
11,fused_delta,0.5,0.6000000238418579,0.9666666388511658,0.4416666626930237,0.49166667461395264,0.5083333253860474,0.7833333611488342,0.613095223903656
11,block_output,1.0,0.5916666388511658,0.7666666507720947,0.6499999761581421,0.5083333253860474,0.5083333253860474,0.699999988079071,0.675000011920929
11,branches_concat,1.0,0.550000011920929,0.9750000238418579,0.625,0.5,0.5083333253860474,0.8083333373069763,0.7095237970352173
23,input,1.0,0.5916666388511658,0.550000011920929,0.7583333253860474,0.5416666865348816,0.5,0.49166667461395264,0.6333333253860474
23,feat_delta,0.75,0.5333333611488342,0.5,0.7916666865348816,0.5666666626930237,0.5083333253860474,0.4833333194255829,0.5904762148857117
23,rel_delta,1.0,0.550000011920929,0.550000011920929,0.824999988079071,0.550000011920929,0.49166667461395264,0.5,0.6380952596664429
23,ctx_delta,0.75,0.49166667461395264,0.9916666746139526,0.5083333253860474,0.5083333253860474,0.5083333253860474,0.800000011920929,0.651190459728241
23,scaled_sum,0.75,0.5166666507720947,0.7333333492279053,0.7833333611488342,0.4833333194255829,0.4833333194255829,0.6083333492279053,0.6226190328598022
23,fused_delta,0.5,0.7083333134651184,0.9166666865348816,0.6000000238418579,0.5333333611488342,0.49166667461395264,0.7416666746139526,0.6416666507720947
23,block_output,0.8083333373069763,0.5083333253860474,0.8833333253860474,0.7333333492279053,0.4833333194255829,0.4333333373069763,0.7333333492279053,0.6547619104385376
23,branches_concat,1.0,0.5666666626930237,0.8833333253860474,0.75,0.5,0.5166666507720947,0.7333333492279053,0.7071428298950195
37,input,1.0,0.5583333373069763,0.550000011920929,0.7583333253860474,0.5166666507720947,0.4833333194255829,0.4833333194255829,0.6214285492897034
37,feat_delta,1.0,0.5583333373069763,0.5416666865348816,0.800000011920929,0.5,0.4749999940395355,0.5166666507720947,0.6273809671401978
37,rel_delta,0.5,0.550000011920929,0.5166666507720947,0.699999988079071,0.550000011920929,0.46666666865348816,0.40833333134651184,0.5273809432983398
37,ctx_delta,0.2666666805744171,0.5916666388511658,1.0,0.30000001192092896,0.574999988079071,0.5,0.7833333611488342,0.5738095045089722
37,scaled_sum,0.75,0.5583333373069763,0.949999988079071,0.7166666388511658,0.6000000238418579,0.5,0.75,0.6892856955528259
37,fused_delta,0.75,0.5,0.9416666626930237,0.5583333373069763,0.5916666388511658,0.5,0.7333333492279053,0.6535714268684387
37,block_output,1.0,0.5666666626930237,0.9083333611488342,0.7833333611488342,0.5916666388511658,0.5,0.7250000238418579,0.7250000238418579
37,branches_concat,1.0,0.5833333134651184,0.9583333134651184,0.7416666746139526,0.5916666388511658,0.5,0.75,0.7321428656578064
