seed,intervention,best_pooling,best_pool_R,best_pool_RC,linear_head_R,linear_head_RC,small_nonlinear_head_R,small_nonlinear_head_RC
11,best_pool + linear head (frozen encoder),P1_query,0.6333333253860474,0.5083333253860474,0.5916666388511658,0.5,0.5666666626930237,0.5083333253860474
23,best_pool + linear head (frozen encoder),P4_mean_plus_query,0.5916666388511658,0.5,0.5083333253860474,0.5083333253860474,0.574999988079071,0.4749999940395355
37,best_pool + linear head (frozen encoder),P3_max,0.6166666746139526,0.6000000238418579,0.5583333373069763,0.6000000238418579,0.5,0.6166666746139526
