seed,head,F,R,C,FR,RC,FC,FRC,overall,params
11,linear,1.0,0.5916666388511658,0.9916666746139526,0.75,0.5,0.5083333253860474,0.800000011920929,0.7345238327980042,50
11,small_nonlinear,1.0,0.5666666626930237,0.9833333492279053,0.7250000238418579,0.5083333253860474,0.4833333194255829,0.8083333373069763,0.7250000238418579,650
23,linear,1.0,0.5083333253860474,0.9833333492279053,0.7749999761581421,0.5083333253860474,0.49166667461395264,0.7749999761581421,0.7202380895614624,50
23,small_nonlinear,1.0,0.574999988079071,0.9083333611488342,0.7666666507720947,0.4749999940395355,0.4333333373069763,0.7583333253860474,0.7023809552192688,650
37,linear,0.75,0.5583333373069763,0.9666666388511658,0.6333333253860474,0.6000000238418579,0.49166667461395264,0.7416666746139526,0.6773809790611267,50
37,small_nonlinear,0.8999999761581421,0.5,0.9833333492279053,0.7416666746139526,0.6166666746139526,0.5083333253860474,0.7416666746139526,0.7130952477455139,650
