seed,condition,R,RC,FRC
11,original,0.5666666626930237,0.5083333253860474,0.8083333373069763
11,relational_permuted,0.574999988079071,0.5,0.8083333373069763
23,original,0.574999988079071,0.4749999940395355,0.7583333253860474
23,relational_permuted,0.5583333373069763,0.46666666865348816,0.7666666507720947
37,original,0.5,0.6166666746139526,0.7416666746139526
37,relational_permuted,0.5333333611488342,0.6083333492279053,0.75
