seed,metric,value
11,F,1.0
11,R,0.5916666388511658
11,C,0.9916666746139526
11,FR,0.75
11,RC,0.5166666507720947
11,FC,0.49166667461395264
11,FRC,0.800000011920929
11,pure_mean,0.8611111044883728
11,mixed_mean,0.6395833343267441
11,overall,0.7345238327980042
23,F,1.0
23,R,0.6916666626930237
23,C,1.0
23,FR,0.75
23,RC,0.5083333253860474
23,FC,0.5
23,FRC,0.8333333134651184
23,pure_mean,0.8972222208976746
23,mixed_mean,0.6479166597127914
23,overall,0.7547619342803955
37,F,1.0
37,R,0.5833333134651184
37,C,0.9916666746139526
37,FR,0.7916666865348816
37,RC,0.574999988079071
37,FC,0.5083333253860474
37,FRC,0.7749999761581421
37,pure_mean,0.8583333293596903
37,mixed_mean,0.6624999940395355
37,overall,0.7464285492897034
