family,expert_a,expert_b,mean_acc_a,mean_acc_b,approx_overlap_lower,approx_overlap_upper,note
F,attention,attention_v2,0.75,1.0,0.75,0.75,Approximate range only; requires per-sample predictions for exact overlap.
R,attention,attention_v2,0.4861111144224803,0.49166667461395264,0.0,0.4861111144224803,Approximate range only; requires per-sample predictions for exact overlap.
C,attention,attention_v2,0.5083333452542623,0.8972222010294596,0.4055555462837219,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention,attention_v2,0.6500000059604645,0.7555555701255798,0.4055555760860443,0.6500000059604645,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention,attention_v2,0.49166666467984516,0.4999999900658925,0.0,0.49166666467984516,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention,attention_v2,0.6583333412806193,0.7444444497426351,0.4027777910232544,0.6583333412806193,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention,attention_v2,0.5388888915379842,0.6638888915379842,0.2027777830759685,0.5388888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention,graph,0.75,1.0,0.75,0.75,Approximate range only; requires per-sample predictions for exact overlap.
R,attention,graph,0.4861111144224803,0.6555555462837219,0.14166666070620226,0.4861111144224803,Approximate range only; requires per-sample predictions for exact overlap.
C,attention,graph,0.5083333452542623,0.524999996026357,0.03333334128061938,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention,graph,0.6500000059604645,0.7305555542310079,0.3805555601914725,0.6500000059604645,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention,graph,0.49166666467984516,0.5722222228844961,0.0638888875643413,0.49166666467984516,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention,graph,0.6583333412806193,0.9805555542310079,0.6388888955116272,0.6583333412806193,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention,graph,0.5388888915379842,0.7361111243565878,0.275000015894572,0.5388888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention,joint,0.75,1.0,0.75,0.75,Approximate range only; requires per-sample predictions for exact overlap.
R,attention,joint,0.4861111144224803,0.5444444318612417,0.030555546283721924,0.4861111144224803,Approximate range only; requires per-sample predictions for exact overlap.
C,attention,joint,0.5083333452542623,0.9638888835906982,0.4722222288449607,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention,joint,0.6500000059604645,0.7444444298744202,0.39444443583488464,0.6500000059604645,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention,joint,0.49166666467984516,0.5083333452542623,9.934107536579972e-09,0.49166666467984516,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention,joint,0.6583333412806193,0.9888888994852701,0.6472222407658894,0.6583333412806193,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention,joint,0.5388888915379842,0.7388888994852701,0.2777777910232544,0.5388888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention,joint_co,0.75,1.0,0.75,0.75,Approximate range only; requires per-sample predictions for exact overlap.
R,attention,joint_co,0.4861111144224803,0.5638888974984487,0.050000011920928955,0.4861111144224803,Approximate range only; requires per-sample predictions for exact overlap.
C,attention,joint_co,0.5083333452542623,0.9722222288449606,0.4805555740992229,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention,joint_co,0.6500000059604645,0.7416666547457377,0.39166666070620204,0.6500000059604645,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention,joint_co,0.49166666467984516,0.522222230831782,0.013888895511627197,0.49166666467984516,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention,joint_co,0.6583333412806193,0.9972222248713175,0.6555555661519368,0.6583333412806193,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention,joint_co,0.5388888915379842,0.7194444537162781,0.25833334525426244,0.5388888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention,joint_co_d3,0.75,1.0,0.75,0.75,Approximate range only; requires per-sample predictions for exact overlap.
R,attention,joint_co_d3,0.4861111144224803,0.6416666706403097,0.12777778506278992,0.4861111144224803,Approximate range only; requires per-sample predictions for exact overlap.
C,attention,joint_co_d3,0.5083333452542623,0.9833333492279053,0.4916666944821677,0.5083333452542623,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention,joint_co_d3,0.6500000059604645,0.7083333532015482,0.3583333591620126,0.6500000059604645,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention,joint_co_d3,0.49166666467984516,0.6027777791023254,0.09444444378217054,0.49166666467984516,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention,joint_co_d3,0.6583333412806193,0.9805555542310079,0.6388888955116272,0.6583333412806193,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention,joint_co_d3,0.5388888915379842,0.7472222248713175,0.28611111640930176,0.5388888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention,mlp,0.75,1.0,0.75,0.75,Approximate range only; requires per-sample predictions for exact overlap.
R,attention,mlp,0.4861111144224803,0.5749999980131785,0.0611111124356587,0.4861111144224803,Approximate range only; requires per-sample predictions for exact overlap.
C,attention,mlp,0.5083333452542623,0.49166665474573773,0.0,0.49166665474573773,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention,mlp,0.6500000059604645,0.7222222089767456,0.3722222149372101,0.6500000059604645,Approximate range only; requires per-sample predictions for exact overlap.
RC,attention,mlp,0.49166666467984516,0.48888887961705524,0.0,0.48888887961705524,Approximate range only; requires per-sample predictions for exact overlap.
FC,attention,mlp,0.6583333412806193,1.0,0.6583333412806192,0.6583333412806193,Approximate range only; requires per-sample predictions for exact overlap.
FRC,attention,mlp,0.5388888915379842,0.7583333452542623,0.2972222367922466,0.5388888915379842,Approximate range only; requires per-sample predictions for exact overlap.
F,attention_v2,graph,1.0,1.0,1.0,1.0,Approximate range only; requires per-sample predictions for exact overlap.
R,attention_v2,graph,0.49166667461395264,0.6555555462837219,0.14722222089767456,0.49166667461395264,Approximate range only; requires per-sample predictions for exact overlap.
C,attention_v2,graph,0.8972222010294596,0.524999996026357,0.42222219705581665,0.524999996026357,Approximate range only; requires per-sample predictions for exact overlap.
FR,attention_v2,graph,0.7555555701255798,0.7305555542310079,0.4861111243565879,0.7305555542310079,Approximate range only; requires per-sample predictions for exact overlap.
