family,mean_acc,max_acc,min_acc,expert_count
C,0.7630952369599114,0.9833333492279053,0.49166665474573773,7
F,0.9642857142857143,1.0,0.75,7
FC,0.9071428605488369,1.0,0.6583333412806193,7
FR,0.7218253967307863,0.7555555701255798,0.6500000059604645,7
FRC,0.7003968329656692,0.7583333452542623,0.5388888915379842,7
R,0.5654761904761905,0.6555555462837219,0.4861111144224803,7
RC,0.5265873017765227,0.6027777791023254,0.48888887961705524,7
