seed,condition,latency_us,throughput_per_s
11,graph,38.3194166655206,26096.430661476883
11,baseline,62.12833333241482,16095.7158572007
11,depth3,85.07350001309533,11754.541659224911
11,rel_first,96.25991666932048,10388.540054894058
23,graph,34.53333333103122,28957.528959459367
23,baseline,84.23816666133159,11871.10355832372
23,depth3,88.60016667313175,11286.660483261288
23,rel_first,97.48983333035237,10257.47984009181
37,graph,34.69283333288331,28824.396969968966
37,baseline,79.01741667107369,12655.437777252406
37,depth3,224.43233333130289,4455.685975174612
37,rel_first,92.97100000670373,10756.042205934047
