seed,branch,l2_mean,rms,mean_abs,variance,rel_over_feat,rel_over_ctx,max_min_branch
11,feat_delta,3.4845635890960693,0.2253539115190506,0.17105868458747864,0.05065181478857994,,,
11,rel_delta,8.068830490112305,0.47850558161735535,0.39886006712913513,0.2275531142950058,,,
11,ctx_delta,2.4514477252960205,0.16682253777980804,0.03639630228281021,0.027828847989439964,,,
11,block_output,5.686659336090088,0.33808156847953796,0.2689172923564911,0.11369466036558151,,,
11,ratios,,,,,2.1233515690580957,2.868350931388798,2.868350931388798
23,feat_delta,4.42155122756958,0.38710567355155945,0.22358019649982452,0.14985065162181854,,,
23,rel_delta,7.917418956756592,0.4692593514919281,0.391959547996521,0.2195277065038681,,,
23,ctx_delta,3.4198546409606934,0.24873697757720947,0.05215279385447502,0.061856526881456375,,,
23,block_output,7.208819389343262,0.44356152415275574,0.3203985393047333,0.19596417248249054,,,
23,ratios,,,,,1.212225455614322,1.8865685193359203,1.8865685193359203
37,feat_delta,4.664272308349609,0.39959776401519775,0.24168264865875244,0.15964746475219727,,,
37,rel_delta,8.986526489257812,0.536478579044342,0.4480828046798706,0.28761860728263855,,,
37,ctx_delta,3.0391013622283936,0.22013550996780396,0.04566791653633118,0.04845956712961197,,,
37,block_output,7.99324893951416,0.5083890557289124,0.38247957825660706,0.2580879330635071,,,
37,ratios,,,,,1.3425464988936684,2.437037891446069,2.437037891446069
