seed,info,RC,FRC,R
11,R,0.46666666865348816,0.550000011920929,0.800000011920929
11,R+C,0.5083333253860474,0.7916666865348816,0.6916666626930237
11,F+R+C,0.5083333253860474,0.800000011920929,0.6583333611488342
23,R,0.5333333611488342,0.5083333253860474,0.625
23,R+C,0.5249999761581421,0.7666666507720947,0.6499999761581421
23,F+R+C,0.5,0.7416666746139526,0.574999988079071
37,R,0.5833333134651184,0.42500001192092896,0.6666666865348816
37,R+C,0.6000000238418579,0.7666666507720947,0.5416666865348816
37,F+R+C,0.5916666388511658,0.7416666746139526,0.5583333373069763
