seed,condition,R,RC,FRC
11,graph,0.9083333611488342,0.5166666507720947,0.4833333194255829
11,baseline,0.5,0.5083333253860474,0.800000011920929
11,depth3,0.6000000238418579,0.5166666507720947,0.800000011920929
11,rel_first,0.5583333373069763,0.5249999761581421,0.7916666865348816
11,oracle_diag,0.6583333611488342,0.5083333253860474,0.800000011920929
23,graph,0.925000011920929,0.574999988079071,0.5166666507720947
23,baseline,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,depth3,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,rel_first,0.7083333134651184,0.5166666507720947,0.824999988079071
23,oracle_diag,0.574999988079071,0.5,0.7416666746139526
37,graph,0.8416666388511658,0.4749999940395355,0.5666666626930237
37,baseline,0.6333333253860474,0.5916666388511658,0.75
37,depth3,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,rel_first,0.6166666746139526,0.5833333134651184,0.75
37,oracle_diag,0.5583333373069763,0.5916666388511658,0.7416666746139526
