seed,order,drop_R,F,R,C,FR,RC,FC,FRC
11,F→R,0.008333384990692139,0.5,0.6000000238418579,0.5,0.4333333373069763,0.40833333134651184,0.5,0.4749999940395355
11,R→F,0.21666666865348816,0.5,0.6166666746139526,0.5333333611488342,0.6166666746139526,0.5833333134651184,0.5083333253860474,0.5333333611488342
11,R→C,0.041666626930236816,0.5,0.574999988079071,0.9333333373069763,0.5,0.5249999761581421,0.5,0.7416666746139526
11,C→R,0.4000000059604645,0.5,0.875,0.9416666626930237,0.4749999940395355,0.5166666507720947,0.46666666865348816,0.75
11,F→C,0.0,0.75,0.5249999761581421,0.9916666746139526,0.699999988079071,0.5083333253860474,0.5083333253860474,0.800000011920929
11,C→F,0.0,1.0,0.5916666388511658,0.9083333611488342,0.75,0.5,0.5,0.7749999761581421
23,F→R,0.3500000238418579,0.75,0.8666666746139526,0.5416666865348816,0.75,0.4749999940395355,0.46666666865348816,0.5416666865348816
23,R→F,-0.11666664481163025,0.6000000238418579,0.40833333134651184,0.4333333373069763,0.5249999761581421,0.5083333253860474,0.5166666507720947,0.5
23,R→C,-0.016666650772094727,0.5,0.5,0.9750000238418579,0.3083333373069763,0.5249999761581421,0.5083333253860474,0.8333333134651184
23,C→R,0.19999998807907104,0.75,0.6916666626930237,0.46666666865348816,0.7749999761581421,0.44999998807907104,0.46666666865348816,0.5083333253860474
23,F→C,0.0,0.5,0.4583333432674408,0.9916666746139526,0.5166666507720947,0.5166666507720947,0.5,0.7916666865348816
23,C→F,0.0,0.75,0.49166667461395264,0.9416666626930237,0.699999988079071,0.49166667461395264,0.5,0.7833333611488342
37,F→R,0.016666710376739502,0.5,0.5333333611488342,0.4749999940395355,0.4416666626930237,0.5833333134651184,0.49166667461395264,0.5
37,R→F,-0.09999999403953552,0.75,0.4000000059604645,0.5333333611488342,0.6499999761581421,0.3583333194255829,0.5,0.5
37,R→C,-0.008333325386047363,0.5,0.46666666865348816,0.8166666626930237,0.5916666388511658,0.5333333611488342,0.49166667461395264,0.675000011920929
37,C→R,0.2083333134651184,0.75,0.699999988079071,0.550000011920929,0.5083333253860474,0.4333333373069763,0.5083333253860474,0.5
37,F→C,0.0,0.7416666746139526,0.49166667461395264,0.9750000238418579,0.6916666626930237,0.5916666388511658,0.49166667461395264,0.7583333253860474
37,C→F,0.0,0.75,0.5,0.7333333492279053,0.7333333492279053,0.5833333134651184,0.5083333253860474,0.6000000238418579
