seed,head,R,RC,FRC
11,oracle_diag,0.6583333611488342,0.5083333253860474,0.800000011920929
11,fused_diag,0.7333333492279053,0.4833333194255829,0.7749999761581421
11,production,0.6000000238418579,0.5166666507720947,0.800000011920929
23,oracle_diag,0.574999988079071,0.5,0.7416666746139526
23,fused_diag,0.6000000238418579,0.5166666507720947,0.6333333253860474
23,production,0.6333333253860474,0.5083333253860474,0.8333333134651184
37,oracle_diag,0.5583333373069763,0.5916666388511658,0.7416666746139526
37,fused_diag,0.5083333253860474,0.5916666388511658,0.6916666626930237
37,production,0.6416666507720947,0.5833333134651184,0.7666666507720947
