seed,condition,RC,FRC,R,mixed_mean,drop_R
11,oracle_F+R+C,0.5083333253860474,0.800000011920929,0.6583333611488342,0.633333332836628,0.11666667461395264
11,fused_head,0.4833333194255829,0.7749999761581421,0.7333333492279053,0.6354166492819786,0.13333332538604736
23,oracle_F+R+C,0.5,0.7416666746139526,0.574999988079071,0.6375000029802322,0.0
23,fused_head,0.5166666507720947,0.6333333253860474,0.6000000238418579,0.6041666567325592,0.03333336114883423
37,oracle_F+R+C,0.5916666388511658,0.7416666746139526,0.5583333373069763,0.6499999910593033,0.02499997615814209
37,fused_head,0.5916666388511658,0.6916666626930237,0.5083333253860474,0.6416666656732559,0.0
