seed,representation,F,R,C,FR,RC,FC,FRC,overall
11,F,1.0,0.6083333492279053,0.5,0.7583333253860474,0.5666666626930237,0.5166666507720947,0.46666666865348816,0.6309523582458496
11,R,1.0,0.800000011920929,0.49166667461395264,0.7833333611488342,0.46666666865348816,0.5166666507720947,0.550000011920929,0.6583333611488342
11,C,0.5,0.5916666388511658,0.9916666746139526,0.4416666626930237,0.5083333253860474,0.5166666507720947,0.800000011920929,0.6214285492897034
11,F+R,1.0,0.625,0.5,0.75,0.5083333253860474,0.5166666507720947,0.5,0.6285714507102966
11,R+C,1.0,0.6916666626930237,0.9750000238418579,0.7749999761581421,0.5083333253860474,0.46666666865348816,0.7916666865348816,0.7440476417541504
11,F+C,1.0,0.574999988079071,0.9833333492279053,0.7583333253860474,0.5,0.4833333194255829,0.8166666626930237,0.7309523820877075
11,F+R+C,1.0,0.6583333611488342,0.9666666388511658,0.75,0.5083333253860474,0.4749999940395355,0.800000011920929,0.7369047403335571
11,fused_head,1.0,0.7333333492279053,0.8999999761581421,0.7583333253860474,0.4833333194255829,0.5249999761581421,0.7749999761581421,
23,F,1.0,0.5666666626930237,0.5666666626930237,0.7749999761581421,0.550000011920929,0.46666666865348816,0.4833333194255829,0.6297619342803955
23,R,0.5,0.625,0.5666666626930237,0.7416666746139526,0.5333333611488342,0.5,0.5083333253860474,0.5678571462631226
23,C,0.5,0.49166667461395264,0.9916666746139526,0.4583333432674408,0.5166666507720947,0.5,0.824999988079071,0.6119047403335571
23,F+R,1.0,0.5666666626930237,0.5666666626930237,0.7833333611488342,0.550000011920929,0.5166666507720947,0.5166666507720947,0.6428571343421936
23,R+C,0.5,0.6499999761581421,0.9750000238418579,0.7166666388511658,0.5249999761581421,0.5166666507720947,0.7666666507720947,0.6642857193946838
23,F+C,1.0,0.5583333373069763,0.9416666626930237,0.7666666507720947,0.46666666865348816,0.5,0.75,0.711904764175415
23,F+R+C,1.0,0.574999988079071,0.9666666388511658,0.7916666865348816,0.5,0.5166666507720947,0.7416666746139526,0.7273809313774109
23,fused_head,1.0,0.6000000238418579,0.7333333492279053,0.7666666507720947,0.5166666507720947,0.5,0.6333333253860474,
37,F,1.0,0.5666666626930237,0.5249999761581421,0.7749999761581421,0.5583333373069763,0.5083333253860474,0.4749999940395355,0.6297619342803955
37,R,0.5,0.6666666865348816,0.5249999761581421,0.699999988079071,0.5833333134651184,0.5333333611488342,0.42500001192092896,0.561904788017273
37,C,0.3333333432674408,0.49166667461395264,1.0,0.4000000059604645,0.5666666626930237,0.5,0.7833333611488342,0.5821428298950195
37,F+R,1.0,0.6000000238418579,0.5333333611488342,0.7416666746139526,0.5583333373069763,0.4583333432674408,0.4416666626930237,0.6190476417541504
37,R+C,0.5,0.5416666865348816,0.9750000238418579,0.699999988079071,0.6000000238418579,0.5083333253860474,0.7666666507720947,0.6559523940086365
37,F+C,1.0,0.550000011920929,0.9583333134651184,0.7833333611488342,0.5833333134651184,0.5,0.7583333253860474,0.7333333492279053
37,F+R+C,1.0,0.5583333373069763,0.949999988079071,0.7749999761581421,0.5916666388511658,0.49166667461395264,0.7416666746139526,0.7297618985176086
37,fused_head,1.0,0.5083333253860474,0.8166666626930237,0.7833333611488342,0.5916666388511658,0.5,0.6916666626930237,
