seed,lambda,condition,router_inference_ms,dispatch_grouping_ms,expert_forward_ms,reassembly_ms,dispatch_overhead_ms,total_end_to_end_ms,batch_size
11,0.0,Cost-Aware (λ=0.000),0.866166666734595,1.1513999999806401,5.984646666668898,0.16415333326828355,1.3155533332489238,8.166366666652417,60
11,0.003,Cost-Aware (λ=0.003),0.9767933333629724,1.2152333332778653,6.77570000001045,0.17602666669821096,1.3912599999760762,9.143753333349498,60
11,0.01,Cost-Aware (λ=0.010),1.034026666669282,1.233913333392896,5.64045999993444,0.16646666666323046,1.4003800000561264,8.07486666665985,60
11,0.03,Cost-Aware (λ=0.030),0.9517533333564643,1.1666200000642373,5.618433333256689,0.14699999998507945,1.3136200000493168,7.88380666666247,60
11,0.1,Cost-Aware (λ=0.100),0.9466933333290701,1.2793733333031316,6.338340000032379,0.17508000003848187,1.4544533333416134,8.739486666703064,60
11,0.3,Cost-Aware (λ=0.300),0.9443866666818698,1.2014466666187218,5.818953333376461,0.17238666663009403,1.3738333332488157,8.137173333307146,60
11,1.0,Cost-Aware (λ=1.000),0.9370866666661944,1.3776000000386073,5.936306666687112,0.16183333327717264,1.53943333331578,8.412826666669087,60
23,0.0,Cost-Aware (λ=0.000),0.9454533333458432,1.188933333287423,5.804806666704584,0.17327333334833384,1.3622066666357568,8.112466666686185,60
23,0.003,Cost-Aware (λ=0.003),0.9919200001604622,1.2165800000123759,5.746920000092359,0.17823999993803832,1.3948199999504143,8.133660000203236,60
23,0.01,Cost-Aware (λ=0.010),1.6152866667349979,1.3609066666200913,6.407679999938409,0.1849400000840736,1.5458466667041648,9.568813333377573,60
23,0.03,Cost-Aware (λ=0.030),0.9586800001367617,1.2406333332061574,5.514673333467121,0.17449333330053682,1.4151266665066942,7.888480000110576,60
23,0.1,Cost-Aware (λ=0.100),0.97188000005796,1.2714733332662338,5.736539999998058,0.16861333339572107,1.440086666661955,8.148506666717974,60
23,0.3,Cost-Aware (λ=0.300),1.0661266667132925,1.2962066667265995,6.360333333395829,0.174206666633836,1.4704133333604354,8.896873333469557,60
23,1.0,Cost-Aware (λ=1.000),1.0390600000391714,1.489626666686187,5.803973333180086,0.1595066668111637,1.6491333334973508,8.49216666671661,60
37,0.0,Cost-Aware (λ=0.000),1.0092999999566623,1.2541933333826212,6.985246666711949,0.18753999999413887,1.4417333333767601,9.436280000045372,60
37,0.003,Cost-Aware (λ=0.003),1.4062933334571426,1.4088333333954022,7.52466666666199,0.19614666653069435,1.6049799999260965,10.53594000004523,60
37,0.01,Cost-Aware (λ=0.010),1.0376733333032462,1.3386466665906482,7.1746800000861795,0.20632666661792123,1.5449733332085696,9.757326666597994,60
37,0.03,Cost-Aware (λ=0.030),0.9613133333308117,1.2933066667756066,7.194980000046296,0.19451999990754604,1.4878266666831526,9.64412000006026,60
37,0.1,Cost-Aware (λ=0.100),0.9723733332672662,1.2194066667386019,7.043066666604621,0.20409333331675344,1.4235000000553553,9.438939999927243,60
37,0.3,Cost-Aware (λ=0.300),0.9696266667257684,1.3378800000282354,5.765313333298158,0.17044666662210756,1.508326666650343,8.243266666674268,60
37,1.0,Cost-Aware (λ=1.000),0.9934733333163117,1.2794666666498717,5.983426666837961,0.17368666655481016,1.453153333204682,8.430053333358956,60
