seed,condition,lambda,overall_accuracy,feature_accuracy,relational_accuracy,contextual_accuracy,macro_accuracy,estimated_forward_flops,parameters,batch_latency_ms
11,Fixed MLP,,0.6652777791023254,1.0,0.4791666567325592,0.5166666507720947,0.665277769168218,8928.0,3914,1.5619466666673059
23,Fixed MLP,,0.6638888716697693,1.0,0.5,0.49166667461395264,0.6638888915379842,8928.0,3914,1.517246666662686
37,Fixed MLP,,0.6666666865348816,1.0,0.5,0.5,0.6666666666666666,8928.0,3914,2.2403199999947296
11,Fixed Graph,,0.5666666626930237,0.5,0.7166666388511658,0.4833333194255829,0.5666666527589163,8112.0,3866,2.411426666640182
23,Fixed Graph,,0.5680555701255798,0.5041666626930237,0.7250000238418579,0.4749999940395355,0.5680555601914724,8112.0,3866,1.7299466666675776
37,Fixed Graph,,0.5902777910232544,0.5,0.7250000238418579,0.5458333492279053,0.5902777910232544,8112.0,3866,1.856213333303458
11,Fixed Attention V1,,0.4833333194255829,0.5583333373069763,0.4333333373069763,0.4583333432674408,0.4833333392937978,39168.0,3314,1.5682999999929355
23,Fixed Attention V1,,0.48472222685813904,0.5,0.46666666865348816,0.48750001192092896,0.48472222685813904,39168.0,3314,1.2722800000119605
37,Fixed Attention V1,,0.4055555462837219,0.25,0.4541666805744171,0.512499988079071,0.4055555562178294,39168.0,3314,1.220393333339113
11,Fixed Attention V2,,0.668055534362793,0.5,0.512499988079071,0.9916666746139526,0.6680555542310079,46296.0,3914,4.065706666672971
23,Fixed Attention V2,,0.6944444179534912,0.574999988079071,0.5166666507720947,0.9916666746139526,0.6944444378217062,46296.0,3914,3.152653333321117
37,Fixed Attention V2,,0.6472222208976746,0.46666666865348816,0.4791666567325592,0.9958333373069763,0.6472222208976746,46296.0,3914,3.7053266666286313
11,Random Router,,0.5902777910232544,0.574999988079071,0.5791666507720947,0.6166666746139526,0.5902777711550394,26983.033333333333,15348,2.401844999993348
23,Random Router,,0.6152777671813965,0.612500011920929,0.5916666388511658,0.6416666507720947,0.6152777671813965,27128.7,15348,1.9180316666658352
37,Random Router,,0.5861111283302307,0.5458333492279053,0.574999988079071,0.637499988079071,0.5861111084620158,25516.233333333334,15348,2.255563333316483
11,Learned Router (Phase 8A),,0.9013888835906982,1.0,0.7166666388511658,0.987500011920929,0.9013888835906982,30858.966666666667,15348,8.166366666652417
23,Learned Router (Phase 8A),,0.9041666388511658,1.0,0.7208333611488342,0.9916666746139526,0.9041666785875956,22167.4,15348,8.112466666686185
37,Learned Router (Phase 8A),,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,27735.666666666668,15348,9.436280000045372
11,Oracle Router,,0.9027777910232544,1.0,0.7166666388511658,0.9916666746139526,0.9027777711550394,21112.0,3898.0,2.7765653333280067
23,Oracle Router,,0.9055555462837219,1.0,0.7250000238418579,0.9916666746139526,0.9055555661519369,21112.0,3898.0,2.1580972222176973
37,Oracle Router,,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,21112.0,3898.0,2.6302482221955064
11,Cost-Aware (λ=0.000),0.0,0.9013888835906982,1.0,0.7166666388511658,0.987500011920929,0.9013888835906982,30858.966666666667,15348,8.166366666652417
23,Cost-Aware (λ=0.000),0.0,0.9041666388511658,1.0,0.7208333611488342,0.9916666746139526,0.9041666785875956,22167.4,15348,8.112466666686185
37,Cost-Aware (λ=0.000),0.0,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,27735.666666666668,15348,9.436280000045372
11,Cost-Aware (λ=0.003),0.003,0.9013888835906982,1.0,0.7166666388511658,0.987500011920929,0.9013888835906982,30805.933333333334,15348,9.143753333349498
23,Cost-Aware (λ=0.003),0.003,0.9041666388511658,1.0,0.7208333611488342,0.9916666746139526,0.9041666785875956,22165.133333333335,15348,8.133660000203236
37,Cost-Aware (λ=0.003),0.003,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,27730.0,15348,10.53594000004523
11,Cost-Aware (λ=0.010),0.01,0.9027777910232544,1.0,0.7166666388511658,0.9916666746139526,0.9027777711550394,30844.0,15348,8.07486666665985
23,Cost-Aware (λ=0.010),0.01,0.9055555462837219,1.0,0.7250000238418579,0.9916666746139526,0.9055555661519369,22096.0,15348,9.568813333377573
37,Cost-Aware (λ=0.010),0.01,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,27730.0,15348,9.757326666597994
11,Cost-Aware (λ=0.030),0.03,0.9013888835906982,1.0,0.7166666388511658,0.987500011920929,0.9013888835906982,30737.933333333334,15348,7.88380666666247
23,Cost-Aware (λ=0.030),0.03,0.9041666388511658,1.0,0.7208333611488342,0.9916666746139526,0.9041666785875956,22097.133333333335,15348,7.888480000110576
37,Cost-Aware (λ=0.030),0.03,0.9041666388511658,1.0,0.7250000238418579,0.987500011920929,0.9041666785875956,27522.4,15348,9.64412000006026
