seed,lambda,overall_accuracy,overall_route_agreement,routing_entropy_bits,feature_accuracy,relational_accuracy,contextual_accuracy,mlp_utilization,graph_utilization,attention_v1_utilization,attention_v2_utilization,flops,batch_latency_ms,useful_sacrifices,harmful_sacrifices
11,0.0,0.9013888835906982,0.7486111111111111,1.6266200773756214,1.0,0.7166666388511658,0.987500011920929,0.08333333333333333,0.3347222222222222,0.08333333333333333,0.4986111111111111,30858.966666666667,8.166366666652417,0,1
11,0.003,0.9013888835906982,0.7472222222222222,1.6274116752823442,1.0,0.7166666388511658,0.987500011920929,0.08333333333333333,0.33611111111111114,0.08333333333333333,0.49722222222222223,30805.933333333334,9.143753333349498,1,1
11,0.01,0.9027777910232544,0.6666666666666666,1.3250112108241772,1.0,0.7166666388511658,0.9916666746139526,0.0,0.4166666666666667,0.08333333333333333,0.5,30844.0,8.07486666665985,60,0
11,0.03,0.9013888835906982,0.6638888888888889,1.3257173806723292,1.0,0.7166666388511658,0.987500011920929,0.0,0.41944444444444445,0.08333333333333333,0.49722222222222223,30737.933333333334,7.88380666666247,61,1
11,0.1,0.8999999761581421,0.8277777777777777,1.7872370934836872,1.0,0.7166666388511658,0.9833333492279053,0.16805555555555557,0.3375,0.08333333333333333,0.4111111111111111,27587.0,8.739486666703064,2,2
11,0.3,0.8986111283302307,0.9083333333333333,1.5557470508296127,1.0,0.7166666388511658,0.9791666865348816,0.25416666666666665,0.41805555555555557,0.0,0.3277777777777778,21887.266666666666,8.137173333307146,61,3
11,1.0,0.8111110925674438,0.725,1.3889084540523133,1.0,0.7166666388511658,0.7166666388511658,0.29583333333333334,0.5611111111111111,0.0,0.14305555555555555,14867.833333333334,8.412826666669087,129,68
23,0.0,0.9041666388511658,0.9958333333333333,1.5848873583975407,1.0,0.7208333611488342,0.9916666746139526,0.3375,0.32916666666666666,0.0,0.3333333333333333,22167.4,8.112466666686185,0,0
23,0.003,0.9041666388511658,0.9986111111111111,1.5849541517673638,1.0,0.7208333611488342,0.9916666746139526,0.3347222222222222,0.33194444444444443,0.0,0.3333333333333333,22165.133333333335,8.133660000203236,0,0
23,0.01,0.9055555462837219,0.9166666666666666,1.5545851693377997,1.0,0.7250000238418579,0.9916666746139526,0.25,0.4166666666666667,0.0,0.3333333333333333,22096.0,9.568813333377573,60,0
23,0.03,0.9041666388511658,0.9152777777777777,1.5555998337000387,1.0,0.7208333611488342,0.9916666746139526,0.2513888888888889,0.4152777777777778,0.0,0.3333333333333333,22097.133333333335,7.888480000110576,60,0
23,0.1,0.9055555462837219,0.9166666666666666,1.5545851693377997,1.0,0.7250000238418579,0.9916666746139526,0.25,0.4166666666666667,0.0,0.3333333333333333,22096.0,8.148506666717974,60,0
23,0.3,0.9055555462837219,0.9166666666666666,1.5545851693377997,1.0,0.7250000238418579,0.9916666746139526,0.25,0.4166666666666667,0.0,0.3333333333333333,22096.0,8.896873333469557,60,0
23,1.0,0.7541666626930237,0.6305555555555555,1.0697122038815745,1.0,0.7250000238418579,0.5375000238418579,0.25277777777777777,0.7,0.0,0.04722222222222222,11173.4,8.49216666671661,156,110
37,0.0,0.9069444537162781,0.7430555555555556,1.6656566542662858,1.0,0.7250000238418579,0.9958333373069763,0.09027777777777778,0.4097222222222222,0.08333333333333333,0.4166666666666667,27735.666666666668,9.436280000045372,60,0
37,0.003,0.9069444537162781,0.75,1.6500224216483543,1.0,0.7250000238418579,0.9958333373069763,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.4166666666666667,27730.0,10.53594000004523,60,0
37,0.01,0.9069444537162781,0.75,1.6500224216483543,1.0,0.7250000238418579,0.9958333373069763,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.4166666666666667,27730.0,9.757326666597994,60,0
37,0.03,0.9041666388511658,0.7444444444444445,1.662606930897113,1.0,0.7250000238418579,0.987500011920929,0.08888888888888889,0.4166666666666667,0.08333333333333333,0.4111111111111111,27522.4,9.64412000006026,62,2
37,0.1,0.9055555462837219,0.7486111111111111,1.6293854179736091,1.0,0.7208333611488342,0.9958333373069763,0.08472222222222223,0.4986111111111111,0.08333333333333333,0.3333333333333333,24549.133333333335,9.438939999927243,120,0
37,0.3,0.9055555462837219,0.9138888888888889,1.5561554682619039,1.0,0.7250000238418579,0.9916666746139526,0.25277777777777777,0.4152777777777778,0.0,0.33194444444444443,22045.233333333334,8.243266666674268,60,1
37,1.0,0.8097222447395325,0.6916666666666667,1.2797269035837748,1.0,0.7250000238418579,0.7041666507720947,0.2638888888888889,0.6263888888888889,0.0,0.10972222222222222,13568.966666666667,8.430053333358956,150,71
