cell,architecture,family,seed,validation_accuracy,test_accuracy,test_loss,training_seconds,parameters,estimated_forward_flops,activation_elements,batch_latency_ms,samples_per_second,peak_python_memory_bytes
mlp__feature,mlp,feature,11,1.0,1.0,0.4798641875386238,1.2062373000080697,3914,8928.0,1152.0,1.9626700028311461,30570.600209637974,2552.0
mlp__feature,mlp,feature,23,1.0,1.0,0.38525815308094025,1.140723299991805,3914,8928.0,1152.0,2.0157799997832626,29765.1529464779,2552.0
mlp__feature,mlp,feature,37,1.0,1.0,0.10838206857442856,1.2716995000373572,3914,8928.0,1152.0,2.1008800016716123,28559.46077465617,2552.0
graph__feature,graph,feature,11,1.0,1.0,0.3069492280483246,1.0661031000199728,3866,8112.0,864.0,2.1357899997383356,28092.64956168483,2024.0
graph__feature,graph,feature,23,1.0,1.0,0.2839135453104973,1.077264000021387,3866,8112.0,864.0,1.922219997504726,31213.908958333206,2024.0
graph__feature,graph,feature,37,1.0,1.0,0.36490652710199356,1.1168681999552064,3866,8112.0,864.0,1.8928299949038774,31698.567838390023,2024.0
attention__feature,attention,feature,11,0.75,0.75,0.6077455282211304,1.028959799965378,3314,39168.0,576.0,1.7395999981090426,34490.687551862735,2728.0
attention__feature,attention,feature,23,0.75,0.75,0.39007654786109924,1.1594740999862552,3314,39168.0,576.0,2.703789999941364,22191.072532001817,2728.0
attention__feature,attention,feature,37,0.75,0.75,0.6238657981157303,1.5220933000091463,3314,39168.0,576.0,1.834680000320077,32703.250697414504,2728.0
mlp__relational,mlp,relational,11,0.5916666666666667,0.5916666666666667,0.6637701690196991,1.4400771000073291,3914,8928.0,1152.0,2.8404900047462434,21123.116046789306,2552.0
mlp__relational,mlp,relational,23,0.625,0.6375,0.6520760655403137,1.4597624999587424,3914,8928.0,1152.0,1.9551000033970922,30688.967262926064,2552.0
mlp__relational,mlp,relational,37,0.65,0.5958333333333333,0.679278239607811,1.4981216000160202,3914,8928.0,1152.0,2.2033600020222366,27231.137873489668,2552.0
graph__relational,graph,relational,11,0.725,0.6625,0.6196583807468414,1.2828049000236206,3866,8112.0,864.0,2.1399400022346526,28038.169265187076,2024.0
graph__relational,graph,relational,23,0.7583333333333333,0.7458333333333333,0.5742897242307663,1.287226299988106,3866,8112.0,864.0,1.7446600017137825,34390.65487892305,2024.0
graph__relational,graph,relational,37,0.75,0.7333333333333333,0.5789653211832047,1.3455104000167921,3866,8112.0,864.0,2.5228200014680624,23782.909587321017,2024.0
attention__relational,attention,relational,11,0.6083333333333333,0.5333333333333333,0.6949812173843384,1.2069253999507055,3314,39168.0,576.0,1.7153099994175136,34979.099999635546,2728.0
attention__relational,attention,relational,23,0.55,0.55,0.6893310397863388,1.1915517000015825,3314,39168.0,576.0,1.9098300021141768,31416.4087555333,2728.0
attention__relational,attention,relational,37,0.65,0.4708333333333333,0.7061765342950821,1.1442802000092342,3314,39168.0,576.0,1.6669199976604432,35994.52888213666,2728.0
mlp__contextual,mlp,contextual,11,0.5333333333333333,0.4583333333333333,0.7011680603027344,1.3517371999914758,3914,8928.0,1152.0,2.0344300020951778,29492.290193424404,2552.0
mlp__contextual,mlp,contextual,23,0.5666666666666667,0.475,0.700866311788559,1.389510600012727,3914,8928.0,1152.0,2.1503200056031346,27902.82369305811,2552.0
mlp__contextual,mlp,contextual,37,0.525,0.4708333333333333,0.7064676731824875,1.2348625999875367,3914,8928.0,1152.0,1.5345700026955456,39098.900600563764,2552.0
graph__contextual,graph,contextual,11,0.5083333333333333,0.5041666666666667,0.6997060179710388,1.0975822000182234,3866,8112.0,864.0,1.7405500053428113,34471.86223654784,2024.0
graph__contextual,graph,contextual,23,0.5833333333333334,0.45416666666666666,0.7023507952690125,1.0734077000524849,3866,8112.0,864.0,2.1464699995703995,27952.87146431516,2024.0
graph__contextual,graph,contextual,37,0.5166666666666667,0.45,0.7051927149295807,1.0724079000065103,3866,8112.0,864.0,1.776279998011887,33778.458388967614,2024.0
attention__contextual,attention,contextual,11,0.5166666666666667,0.5041666666666667,0.7009850293397903,1.0386618999764323,3314,39168.0,576.0,1.8786500033456832,31937.827638541585,2728.0
attention__contextual,attention,contextual,23,0.6166666666666667,0.4875,0.7204059660434723,1.0437073999783024,3314,39168.0,576.0,2.0989400043617934,28585.857563967715,2728.0
attention__contextual,attention,contextual,37,0.5416666666666666,0.4625,0.7054647505283356,1.023490399995353,3314,39168.0,576.0,1.769479998620227,33908.26686189486,2728.0
