seed,policy,canonical_accuracy,fresh_accuracy,canonical_flops,fresh_flops,accuracy_gap,relative_accuracy_drop,flops_shift
11,Fixed MLP,0.6652777777777777,0.6541666666666667,8928.0,8928.0,0.011111111111111072,0.016701461377870506,0.0
11,Fixed Graph,0.5666666666666667,0.6194444444444445,8112.0,8112.0,-0.05277777777777781,-0.09313725490196084,0.0
11,Fixed Attention V1,0.48333333333333334,0.49722222222222223,39168.0,39168.0,-0.013888888888888895,-0.02873563218390806,0.0
11,Fixed Attention V2,0.6680555555555555,0.6694444444444444,46296.0,46296.0,-0.001388888888888884,-0.0020790020790020717,0.0
11,Oracle Router,0.9027777777777778,0.9430555555555555,22164.0,22164.0,-0.040277777777777746,-0.04461538461538458,0.0
11,Unconstrained (λ=0.0),0.9013888888888889,0.9430555555555555,30858.966666666667,30912.0,-0.04166666666666663,-0.046224961479198724,53.03333333333285
11,Accuracy-first (λ=0.01),0.9013888888888889,0.9430555555555555,28285.933333333334,28392.0,-0.04166666666666663,-0.046224961479198724,106.0666666666657
11,Balanced (λ=0.10),0.9013888888888889,0.9416666666666667,27520.133333333335,27678.1,-0.040277777777777746,-0.044684129429892104,157.9666666666635
11,Compute-first (λ=1.0),0.7402777777777778,0.7888888888888889,10013.466666666667,9641.1,-0.04861111111111105,-0.06566604127579728,-372.3666666666668
23,Fixed MLP,0.6638888888888889,0.6680555555555555,8928.0,8928.0,-0.004166666666666652,-0.006276150627615041,0.0
23,Fixed Graph,0.5680555555555555,0.5819444444444445,8112.0,8112.0,-0.01388888888888895,-0.024449877750611356,0.0
23,Fixed Attention V1,0.4847222222222222,0.4875,39168.0,39168.0,-0.002777777777777768,-0.0057306590257879455,0.0
23,Fixed Attention V2,0.6944444444444444,0.6986111111111111,46296.0,46296.0,-0.004166666666666652,-0.005999999999999979,0.0
23,Oracle Router,0.9055555555555556,0.9125,22164.0,22164.0,-0.00694444444444442,-0.007668711656441691,0.0
23,Unconstrained (λ=0.0),0.9041666666666667,0.9083333333333333,22167.4,22168.533333333333,-0.004166666666666652,-0.0046082949308755596,1.133333333331393
23,Accuracy-first (λ=0.01),0.9055555555555556,0.9125,22096.0,22096.0,-0.00694444444444442,-0.007668711656441691,0.0
23,Balanced (λ=0.10),0.9055555555555556,0.9125,22096.0,22096.0,-0.00694444444444442,-0.007668711656441691,0.0
23,Compute-first (λ=1.0),0.7361111111111112,0.7472222222222222,9633.166666666666,9528.233333333334,-0.011111111111111072,-0.015094339622641454,-104.93333333333248
37,Fixed MLP,0.6666666666666666,0.6680555555555555,8928.0,8928.0,-0.001388888888888884,-0.002083333333333326,0.0
37,Fixed Graph,0.5902777777777778,0.5652777777777778,8112.0,8112.0,0.025000000000000022,0.04235294117647063,0.0
37,Fixed Attention V1,0.40555555555555556,0.4236111111111111,39168.0,39168.0,-0.018055555555555547,-0.044520547945205456,0.0
37,Fixed Attention V2,0.6472222222222223,0.6652777777777777,46296.0,46296.0,-0.01805555555555549,-0.027896995708154407,0.0
37,Oracle Router,0.9069444444444444,0.925,22164.0,22164.0,-0.018055555555555602,-0.01990811638591123,0.0
37,Unconstrained (λ=0.0),0.9069444444444444,0.9236111111111112,27735.666666666668,27737.933333333334,-0.01666666666666672,-0.018376722817764223,2.266666666666424
37,Accuracy-first (λ=0.01),0.9069444444444444,0.925,27730.0,27730.0,-0.018055555555555602,-0.01990811638591123,0.0
37,Balanced (λ=0.10),0.9055555555555556,0.9236111111111112,22042.966666666667,22042.966666666667,-0.018055555555555602,-0.019938650306748518,0.0
37,Compute-first (λ=1.0),0.8125,0.7986111111111112,15058.433333333332,14108.366666666667,0.01388888888888884,0.017094017094017033,-950.0666666666657
