seed,shift_type,severity,policy,accuracy,flops,decision_preservation
23,variance_contrast,strong,Balanced (λ=0.10),0.9125,22096.0,1.0
23,variance_contrast,strong,Accuracy-first (λ=0.01),0.9125,22096.0,1.0
23,variance_contrast,strong,Fixed Attention V2,0.6902777777777778,46296.0,0.3333333333333333
23,variance_contrast,strong,Fixed Graph,0.5805555555555556,8112.0,0.4166666666666667
37,magnitude_scaling,mild,Balanced (λ=0.10),0.9027777777777778,22096.0,0.9986111111111111
37,magnitude_scaling,mild,Accuracy-first (λ=0.01),0.9027777777777778,27730.0,0.8319444444444445
37,magnitude_scaling,mild,Fixed Attention V2,0.6638888888888889,46296.0,0.33194444444444443
37,magnitude_scaling,mild,Fixed Graph,0.5458333333333333,8112.0,0.41805555555555557
37,magnitude_scaling,moderate,Balanced (λ=0.10),0.875,22096.0,0.9986111111111111
37,magnitude_scaling,moderate,Accuracy-first (λ=0.01),0.875,27730.0,0.8319444444444445
37,magnitude_scaling,moderate,Fixed Attention V2,0.6625,46296.0,0.33194444444444443
37,magnitude_scaling,moderate,Fixed Graph,0.5305555555555556,8112.0,0.41805555555555557
37,magnitude_scaling,strong,Balanced (λ=0.10),0.8666666666666667,22096.0,0.9986111111111111
37,magnitude_scaling,strong,Accuracy-first (λ=0.01),0.8666666666666667,27731.133333333335,0.8305555555555556
37,magnitude_scaling,strong,Fixed Attention V2,0.6625,46296.0,0.33194444444444443
37,magnitude_scaling,strong,Fixed Graph,0.5305555555555556,8112.0,0.41805555555555557
37,additive_noise,mild,Balanced (λ=0.10),0.9166666666666666,21831.966666666667,0.9944444444444445
37,additive_noise,mild,Accuracy-first (λ=0.01),0.9208333333333333,27730.0,0.8319444444444445
37,additive_noise,mild,Fixed Attention V2,0.6486111111111111,46296.0,0.33194444444444443
37,additive_noise,mild,Fixed Graph,0.5652777777777778,8112.0,0.41805555555555557
37,additive_noise,moderate,Balanced (λ=0.10),0.8416666666666667,17264.766666666666,0.8708333333333333
37,additive_noise,moderate,Accuracy-first (λ=0.01),0.8805555555555555,27836.066666666666,0.8291666666666667
37,additive_noise,moderate,Fixed Attention V2,0.6361111111111111,46296.0,0.33194444444444443
37,additive_noise,moderate,Fixed Graph,0.5541666666666667,8112.0,0.41805555555555557
37,additive_noise,strong,Balanced (λ=0.10),0.7263888888888889,11564.833333333334,0.7041666666666667
37,additive_noise,strong,Accuracy-first (λ=0.01),0.7611111111111111,28684.6,0.8041666666666667
37,additive_noise,strong,Fixed Attention V2,0.6013888888888889,46296.0,0.33194444444444443
37,additive_noise,strong,Fixed Graph,0.5319444444444444,8112.0,0.41805555555555557
37,variance_contrast,mild,Balanced (λ=0.10),0.8944444444444445,19752.566666666666,0.9388888888888889
37,variance_contrast,mild,Accuracy-first (λ=0.01),0.9208333333333333,27730.0,0.8319444444444445
37,variance_contrast,mild,Fixed Attention V2,0.6541666666666667,46296.0,0.33194444444444443
37,variance_contrast,mild,Fixed Graph,0.5694444444444444,8112.0,0.41805555555555557
37,variance_contrast,moderate,Balanced (λ=0.10),0.8902777777777777,22096.0,0.9986111111111111
37,variance_contrast,moderate,Accuracy-first (λ=0.01),0.8902777777777777,27730.0,0.8319444444444445
37,variance_contrast,moderate,Fixed Attention V2,0.6625,46296.0,0.33194444444444443
37,variance_contrast,moderate,Fixed Graph,0.5458333333333333,8112.0,0.41805555555555557
37,variance_contrast,strong,Balanced (λ=0.10),0.8625,22096.0,0.9986111111111111
37,variance_contrast,strong,Accuracy-first (λ=0.01),0.8625,27730.0,0.8319444444444445
37,variance_contrast,strong,Fixed Attention V2,0.6666666666666666,46296.0,0.33194444444444443
37,variance_contrast,strong,Fixed Graph,0.5208333333333334,8112.0,0.41805555555555557
