seed,architecture,overall,params,flops,F,R,C,FR,RC,FC,FRC,RC_agree,RC_disagree
11,mlp,0.7047619047619048,3914,8928.0,1.0,0.4833333194255829,0.4833333194255829,0.7749999761581421,0.46666666865348816,1.0,0.7250000238418579,0.4193548262119293,0.517241358757019
11,graph,0.705952380952381,3866,8112.0,1.0,0.49166667461395264,0.5166666507720947,0.7749999761581421,0.4583333432674408,0.9583333134651184,0.7416666746139526,0.4032258093357086,0.517241358757019
11,attention,0.6023809523809524,3314,39168.0,0.75,0.49166667461395264,0.5,0.7416666746139526,0.550000011920929,0.7250000238418579,0.4583333432674408,0.5483871102333069,0.5517241358757019
11,attention_v2,0.719047619047619,3914,46296.0,1.0,0.4416666626930237,0.8416666388511658,0.7833333611488342,0.5,0.7333333492279053,0.7333333492279053,0.8709677457809448,0.1034482792019844
11,joint,0.7714285714285715,4493,53916.0,1.0,0.4749999940395355,0.9583333134651184,0.7666666507720947,0.5,0.9750000238418579,0.7250000238418579,0.9193548560142517,0.0517241396009922
11,joint_co,0.7857142857142857,6464,77568.0,1.0,0.4833333194255829,0.9833333492279053,0.7749999761581421,0.550000011920929,1.0,0.7083333134651184,0.9193548560142517,0.1551724076271057
11,joint_co_d3,0.8047619047619048,18764,225168.0,1.0,0.5583333373069763,0.9833333492279053,0.7916666865348816,0.5583333373069763,1.0,0.7416666746139526,0.8709677457809448,0.22413793206214905
23,mlp,0.7154761904761905,3914,8928.0,1.0,0.625,0.4749999940395355,0.699999988079071,0.4833333194255829,1.0,0.7250000238418579,0.6037735939025879,0.38805970549583435
23,graph,0.7380952380952381,3866,8112.0,1.0,0.7083333134651184,0.5083333253860474,0.6916666626930237,0.574999988079071,1.0,0.6833333373069763,0.6037735939025879,0.5522388219833374
23,attention,0.5869047619047619,3314,39168.0,0.75,0.4749999940395355,0.49166667461395264,0.7333333492279053,0.44999998807907104,0.75,0.4583333432674408,0.4528301954269409,0.447761207818985
23,attention_v2,0.719047619047619,3914,46296.0,1.0,0.5416666865348816,0.9583333134651184,0.7416666746139526,0.4833333194255829,0.6833333373069763,0.625,0.9245283007621765,0.13432836532592773
23,joint,0.7880952380952381,4493,53916.0,1.0,0.5916666388511658,0.949999988079071,0.7583333253860474,0.49166667461395264,1.0,0.7250000238418579,0.9622641801834106,0.11940298229455948
23,joint_co,0.780952380952381,6464,77568.0,1.0,0.6000000238418579,0.9750000238418579,0.75,0.4749999940395355,1.0,0.6666666865348816,0.9056603908538818,0.13432836532592773
23,joint_co_d3,0.8071428571428572,18764,225168.0,1.0,0.6833333373069763,0.9916666746139526,0.6666666865348816,0.5916666388511658,1.0,0.7166666388511658,0.8867924809455872,0.35820895433425903
37,mlp,0.7380952380952381,3914,8928.0,1.0,0.6166666746139526,0.5166666507720947,0.6916666626930237,0.5166666507720947,1.0,0.824999988079071,0.5714285969734192,0.45614033937454224
37,graph,0.7845238095238095,3866,8112.0,1.0,0.7666666507720947,0.550000011920929,0.7250000238418579,0.6833333373069763,0.9833333492279053,0.7833333611488342,0.682539701461792,0.6842105388641357
37,attention,0.5607142857142857,3314,39168.0,0.75,0.49166667461395264,0.5333333611488342,0.4749999940395355,0.4749999940395355,0.5,0.699999988079071,0.4761904776096344,0.4736842215061188
37,attention_v2,0.7273809523809524,3914,46296.0,1.0,0.49166667461395264,0.8916666507720947,0.7416666746139526,0.5166666507720947,0.8166666626930237,0.6333333253860474,0.9047619104385376,0.08771929889917374
37,joint,0.7928571428571428,4493,53916.0,1.0,0.5666666626930237,0.9833333492279053,0.7083333134651184,0.5333333611488342,0.9916666746139526,0.7666666507720947,0.9523809552192688,0.07017543911933899
37,joint_co,0.7976190476190477,6464,77568.0,1.0,0.6083333492279053,0.9583333134651184,0.699999988079071,0.5416666865348816,0.9916666746139526,0.7833333611488342,0.9682539701461792,0.07017543911933899
37,joint_co_d3,0.8154761904761905,18764,225168.0,1.0,0.6833333373069763,0.9750000238418579,0.6666666865348816,0.6583333611488342,0.9416666626930237,0.7833333611488342,0.8571428656578064,0.4385964870452881
