seed,combination,F,R,C,FR,RC,FC,FRC
11,F,1.0,0.5916666388511658,0.9833333492279053,0.7583333253860474,0.5083333253860474,0.7666666507720947,0.7083333134651184
11,R,1.0,0.6416666507720947,0.9666666388511658,0.7583333253860474,0.5249999761581421,0.7583333253860474,0.7916666865348816
11,C,0.75,0.675000011920929,1.0,0.8083333373069763,0.5083333253860474,0.6583333611488342,0.7666666507720947
11,F+R,1.0,0.6083333492279053,0.9750000238418579,0.7583333253860474,0.5166666507720947,0.8583333492279053,0.7333333492279053
11,R+C,1.0,0.4833333194255829,1.0,0.75,0.5083333253860474,0.675000011920929,0.800000011920929
11,F+C,1.0,0.625,1.0,0.7583333253860474,0.5083333253860474,0.699999988079071,0.7666666507720947
11,F+R+C,1.0,0.5833333134651184,1.0,0.7583333253860474,0.5083333253860474,0.7166666388511658,0.7666666507720947
23,F,0.5,0.5083333253860474,0.875,0.5416666865348816,0.5416666865348816,0.6333333253860474,0.6083333492279053
23,R,1.0,0.675000011920929,0.8083333373069763,0.6666666865348816,0.4583333432674408,0.875,0.6916666626930237
23,C,0.6166666746139526,0.5583333373069763,0.9916666746139526,0.550000011920929,0.49166667461395264,0.6833333373069763,0.7583333253860474
23,F+R,0.9666666388511658,0.6499999761581421,0.8999999761581421,0.6916666626930237,0.46666666865348816,0.8666666746139526,0.675000011920929
23,R+C,1.0,0.7583333253860474,1.0,0.625,0.49166667461395264,0.6916666626930237,0.7833333611488342
23,F+C,0.5166666507720947,0.550000011920929,0.9833333492279053,0.550000011920929,0.49166667461395264,0.675000011920929,0.7416666746139526
23,F+R+C,1.0,0.7166666388511658,1.0,0.625,0.49166667461395264,0.6916666626930237,0.7666666507720947
37,F,1.0,0.6499999761581421,0.8500000238418579,0.7083333134651184,0.5083333253860474,0.7666666507720947,0.7083333134651184
37,R,1.0,0.699999988079071,0.8583333492279053,0.6583333611488342,0.5166666507720947,0.75,0.7166666388511658
37,C,0.699999988079071,0.6000000238418579,1.0,0.7333333492279053,0.5833333134651184,0.7833333611488342,0.7250000238418579
37,F+R,1.0,0.7333333492279053,0.8500000238418579,0.6916666626930237,0.5083333253860474,0.7666666507720947,0.7416666746139526
37,R+C,1.0,0.7166666388511658,1.0,0.7416666746139526,0.5833333134651184,0.7583333253860474,0.7333333492279053
37,F+C,1.0,0.6000000238418579,1.0,0.7833333611488342,0.5833333134651184,0.800000011920929,0.75
37,F+R+C,1.0,0.7250000238418579,1.0,0.7666666507720947,0.5833333134651184,0.7749999761581421,0.7416666746139526
