seed,linear_RC,nonlinear_RC,component_RC,linear_params,nonlinear_params,component_params
11,0.5,0.5083333253860474,0.5083333253860474,146,2702,110
23,0.5,0.49166667461395264,0.550000011920929,146,2702,110
37,0.6000000238418579,0.5916666388511658,0.5916666388511658,146,2702,110
