seed,condition,relational,feature,contextual,fusion,encoder,head,R_share,C_share,rel_rms,ctx_rms
11,joint,0.2667496546510091,0.37568787869921394,1.8248053158607869,0.0,1.123460439936694,2.637703324425433,0.042827912691129885,0.2929810831367081,0.0,0.0
11,joint_co,0.327577708388239,0.43040582990932347,1.2599958305395875,0.20130562191303983,1.2458891920374777,2.81031725590383,0.05219953076001487,0.2007804237881501,0.3359227776527405,0.2529856562614441
11,depth3,0.7121904959994317,0.34954160333140416,1.3886583622097841,0.23463668167511342,1.281328065009243,2.890877285060202,0.10385975635166632,0.20251003062378306,0.5826400518417358,0.2535637319087982
23,joint,0.22612153820975503,0.16228275507695913,2.1026869890575663,0.0,1.0265184088483097,1.9916785480142656,0.04104369355745808,0.38166218534245683,0.0,0.0
23,joint_co,0.31648104182897996,0.2199130309781729,1.6975566121152883,0.49424361467826805,1.123371809463037,2.0253142204910772,0.05385187788108316,0.28885335704012716,0.49200135469436646,0.2038484662771225
23,depth3,0.7409144184757078,0.2896542196272174,2.0001301345997717,0.7817109278380623,1.202360235827371,2.4963315163921838,0.09864257900594922,0.26628985737697125,0.5320332646369934,0.21864613890647888
37,joint,0.32420258320138406,0.2579958686266301,2.3103263906088594,0.0,0.9384877237941553,2.391047089536974,0.05210534792940922,0.37131215681398333,0.0,0.0
37,joint_co,0.2775178110024323,0.20478529382498306,1.4710881151182813,0.30890228186980867,1.0447732529135023,2.5354086589799634,0.047500039170247615,0.2517919222503224,0.5162091851234436,0.22892294824123383
37,depth3,0.5028475614893326,0.2650646837474277,1.5002251784425005,0.6846270373621145,1.0489383572875848,2.5135050322513117,0.07718058625627265,0.23026512934789237,0.666868269443512,0.2684805691242218
