seed,parity_fact,n_disagree,production_matches_C_rule,align_R,align_RC,align_FRC
11,True,59,0.9916666746139526,0.9833333492279053,0.40833333134651184,0.5166666507720947
23,True,59,1.0,0.9833333492279053,0.550000011920929,0.574999988079071
37,True,50,0.9833333492279053,0.9666666388511658,0.4833333194255829,0.574999988079071
