seed,condition,latency_us,throughput_per_s
11,graph,27.56599999581037,36276.57259493526
11,baseline,53.35999999563985,18740.629686688753
11,depth3,63.32600000253782,15791.30215014251
23,graph,31.978583331995953,31270.92872183168
23,baseline,51.93958332408025,19253.13866613904
23,depth3,64.53249998230604,15496.067877026102
37,graph,24.947916660191066,40083.50731729362
37,baseline,49.52249999708632,20192.84163882751
37,depth3,65.0466666744857,15373.57794219217
