seed,rule_R_train_RC,rule_C_train_RC,model_train_RC,rule_R_test_RC,rule_C_test_RC,model_test_RC,best_single_train_RC,model_matches_single_rule,model_matches_C_rule,joint_head_train_RC,joint_head_test_RC
11,1.0,0.5249999761581421,0.5249999761581421,1.0,0.5083333253860474,0.5166666507720947,1.0,0.5166666507720947,0.9916666746139526,0.5,0.5083333253860474
23,1.0,0.5249999761581421,0.550000011920929,1.0,0.5083333253860474,0.5083333253860474,1.0,0.5083333253860474,1.0,0.550000011920929,0.5249999761581421
37,1.0,0.44999998807907104,0.44999998807907104,1.0,0.5833333134651184,0.5833333134651184,1.0,0.5833333134651184,0.9833333492279053,0.44999998807907104,0.6000000238418579
