seed,condition,overall_accuracy,feature_accuracy,relational_accuracy,contextual_accuracy,macro_accuracy,estimated_forward_flops,parameters,batch_latency_ms
11,Fixed MLP,0.6652777791023254,1.0,0.4791666567325592,0.5166666507720947,0.665277769168218,8928.0,3914,1.6288133338093758
23,Fixed MLP,0.6638888716697693,1.0,0.5,0.49166667461395264,0.6638888915379842,8928.0,3914,1.8243400030769408
37,Fixed MLP,0.6666666865348816,1.0,0.5,0.5,0.6666666666666666,8928.0,3914,5.170966665415714
11,Fixed Graph,0.5666666626930237,0.5,0.7166666388511658,0.4833333194255829,0.5666666527589163,8112.0,3866,2.0718666686055562
23,Fixed Graph,0.5680555701255798,0.5041666626930237,0.7250000238418579,0.4749999940395355,0.5680555601914724,8112.0,3866,2.2614799983178573
37,Fixed Graph,0.5902777910232544,0.5,0.7250000238418579,0.5458333492279053,0.5902777910232544,8112.0,3866,4.619179999766251
11,Fixed Attention V1,0.4833333194255829,0.5583333373069763,0.4333333373069763,0.4583333432674408,0.4833333392937978,39168.0,3314,1.3691733319622776
23,Fixed Attention V1,0.48472222685813904,0.5,0.46666666865348816,0.48750001192092896,0.48472222685813904,39168.0,3314,1.735880000827213
37,Fixed Attention V1,0.4055555462837219,0.25,0.4541666805744171,0.512499988079071,0.4055555562178294,39168.0,3314,5.264166664953033
11,Fixed Attention V2,0.668055534362793,0.5,0.512499988079071,0.9916666746139526,0.6680555542310079,46296.0,3914,3.825573332142085
23,Fixed Attention V2,0.6944444179534912,0.574999988079071,0.5166666507720947,0.9916666746139526,0.6944444378217062,46296.0,3914,3.777620002316932
37,Fixed Attention V2,0.6472222208976746,0.46666666865348816,0.4791666567325592,0.9958333373069763,0.6472222208976746,46296.0,3914,8.675326666949939
11,Random Router,0.5902777910232544,0.574999988079071,0.5791666507720947,0.6166666746139526,0.5902777711550394,25931.033333333333,3752.0,2.223856666629824
23,Random Router,0.6152777671813965,0.612500011920929,0.5916666388511658,0.6416666507720947,0.6152777671813965,26076.7,3752.0,2.399830001134736
37,Random Router,0.5861111283302307,0.5458333492279053,0.574999988079071,0.637499988079071,0.5861111084620158,24464.233333333334,3752.0,5.9324099992712345
11,Oracle Router,0.9027777910232544,1.0,0.7166666388511658,0.9916666746139526,0.9027777711550394,21112.0,3898.0,6.503860008281967
23,Oracle Router,0.9055555462837219,1.0,0.7250000238418579,0.9916666746139526,0.9055555661519369,21112.0,3898.0,8.134399994742125
37,Oracle Router,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,21112.0,3898.0,10.921833334335437
11,Oracle Without V2,0.7250000238418579,1.0,0.7166666388511658,0.4583333432674408,0.7249999940395355,18736.0,3698.0,1.68995111145907
23,Oracle Without V2,0.737500011920929,1.0,0.7250000238418579,0.48750001192092896,0.737500011920929,18736.0,3698.0,1.940566667407337
37,Oracle Without V2,0.7458333373069763,1.0,0.7250000238418579,0.512499988079071,0.7458333373069763,18736.0,3698.0,5.018104443378333
