seed,expert,F,R,C,FR,RC,FC,FRC,mixed_mean
11,mlp,0.9916666746139526,0.5916666388511658,0.46666666865348816,0.7666666507720947,0.40833333134651184,0.8999999761581421,0.6000000238418579,0.6687499955296516
11,graph,0.5,0.5916666388511658,0.5,0.4416666626930237,0.40833333134651184,0.5,0.4749999940395355,0.45624999701976776
11,attention,0.5,0.5333333611488342,0.5416666865348816,0.7416666746139526,0.40833333134651184,0.5,0.2083333283662796,0.464583333581686
11,attention_v2,0.5,0.4416666626930237,1.0,0.7416666746139526,0.5166666507720947,0.550000011920929,0.5249999761581421,0.5833333283662796
11,joint,1.0,0.6499999761581421,1.0,0.7583333253860474,0.5083333253860474,0.6916666626930237,0.7666666507720947,0.6812499910593033
11,joint_co,1.0,0.6416666507720947,1.0,0.7583333253860474,0.5083333253860474,0.7583333253860474,0.800000011920929,0.7062499970197678
11,depth3,1.0,0.5833333134651184,1.0,0.7583333253860474,0.5083333253860474,0.7166666388511658,0.7666666507720947,0.6874999850988388
23,mlp,1.0,0.5,0.5083333253860474,0.75,0.5833333134651184,0.8999999761581421,0.574999988079071,0.7020833194255829
23,graph,0.5,0.7749999761581421,0.44999998807907104,0.2666666805744171,0.5333333611488342,0.5,0.8666666746139526,0.541666679084301
23,attention,0.5,0.574999988079071,0.5916666388511658,0.5916666388511658,0.4749999940395355,0.46666666865348816,0.46666666865348816,0.4999999925494194
23,attention_v2,0.25,0.5083333253860474,0.9916666746139526,0.5333333611488342,0.5333333611488342,0.574999988079071,0.7166666388511658,0.5895833373069763
23,joint,1.0,0.6166666746139526,0.9916666746139526,0.7333333492279053,0.5083333253860474,0.7166666388511658,0.7666666507720947,0.6812499910593033
23,joint_co,1.0,0.6499999761581421,1.0,0.6833333373069763,0.5083333253860474,0.7416666746139526,0.7250000238418579,0.6645833402872086
23,depth3,1.0,0.7166666388511658,1.0,0.625,0.49166667461395264,0.6916666626930237,0.7666666507720947,0.6437499970197678
37,mlp,1.0,0.49166667461395264,0.5,0.7833333611488342,0.375,0.8500000238418579,0.5416666865348816,0.6375000178813934
37,graph,0.5,0.5166666507720947,0.5249999761581421,0.699999988079071,0.6166666746139526,0.5,0.22499999403953552,0.5104166641831398
37,attention,0.5,0.5249999761581421,0.5166666507720947,0.5,0.5833333134651184,0.5,0.5,0.5208333283662796
37,attention_v2,0.5,0.44999998807907104,1.0,0.6416666507720947,0.6000000238418579,0.550000011920929,0.675000011920929,0.6166666746139526
37,joint,1.0,0.699999988079071,1.0,0.7916666865348816,0.5833333134651184,0.7833333611488342,0.75,0.7270833402872086
37,joint_co,1.0,0.6916666626930237,0.9916666746139526,0.7749999761581421,0.574999988079071,0.7833333611488342,0.7666666507720947,0.7249999940395355
37,depth3,1.0,0.7250000238418579,1.0,0.7666666507720947,0.5833333134651184,0.7749999761581421,0.7416666746139526,0.716666653752327
