seed,F,R,C,FR,RC,FC,FRC,mixed_mean
11,1.0,0.5333333611488342,0.9916666746139526,0.75,0.5,0.9666666388511658,0.7583333253860474,0.7437499910593033
23,1.0,0.5833333134651184,0.9916666746139526,0.7250000238418579,0.4749999940395355,0.8999999761581421,0.7083333134651184,0.7020833268761635
37,1.0,0.6166666746139526,0.949999988079071,0.7583333253860474,0.6083333492279053,1.0,0.6916666626930237,0.7645833343267441
