seed,F,R,C,FR,RC,FC,FRC
11,1.0,0.6499999761581421,1.0,0.7666666507720947,0.5166666507720947,0.8999999761581421,0.800000011920929
23,1.0,0.7749999761581421,1.0,0.75,0.5833333134651184,0.8999999761581421,0.8666666746139526
37,1.0,0.7250000238418579,1.0,0.7916666865348816,0.6166666746139526,0.8500000238418579,0.7666666507720947
