seed,lambda,R,RC,FRC,mixed_mean,latency_us
11,lambda=0.0,0.5333333611488342,0.5,0.7583333253860474,0.7437499910593033,1475.4706666766047
11,lambda=0.003,0.574999988079071,0.4333333373069763,0.7083333134651184,0.7416666597127914,1686.0193333316904
11,lambda=0.01,0.6000000238418579,0.4416666626930237,0.6666666865348816,0.7354166805744171,1352.4123333384825
11,lambda=0.03,0.6000000238418579,0.4166666567325592,0.7333333492279053,0.710416667163372,1468.5783333212992
11,lambda=0.1,0.5833333134651184,0.40833333134651184,0.6333333253860474,0.6833333298563957,1133.4463333332678
11,lambda=0.3,0.6000000238418579,0.4000000059604645,0.6916666626930237,0.7041666731238365,1045.1446666653887
11,lambda=1.0,0.5916666388511658,0.40833333134651184,0.6000000238418579,0.6833333298563957,912.8053333309557
23,lambda=0.0,0.5833333134651184,0.4749999940395355,0.7083333134651184,0.7020833268761635,1546.313666670661
23,lambda=0.003,0.6083333492279053,0.5333333611488342,0.6916666626930237,0.7229166775941849,1245.9113333170535
23,lambda=0.01,0.6499999761581421,0.5833333134651184,0.75,0.7458333373069763,1257.9226666518177
23,lambda=0.03,0.625,0.5583333373069763,0.8083333373069763,0.7541666626930237,1445.609333338022
23,lambda=0.1,0.6916666626930237,0.6000000238418579,0.7666666507720947,0.7479166686534882,1343.39766666623
23,lambda=0.3,0.5083333253860474,0.574999988079071,0.7666666507720947,0.7562499940395355,1044.3086666540084
23,lambda=1.0,0.6000000238418579,0.550000011920929,0.7166666388511658,0.7374999970197678,888.5169999848584
37,lambda=0.0,0.6166666746139526,0.6083333492279053,0.6916666626930237,0.7645833343267441,1382.1683333420272
37,lambda=0.003,0.5249999761581421,0.5833333134651184,0.6833333373069763,0.7541666626930237,1244.3963333498689
37,lambda=0.01,0.6166666746139526,0.6000000238418579,0.7250000238418579,0.7729166746139526,1276.7196666633631
37,lambda=0.03,0.6083333492279053,0.4749999940395355,0.7166666388511658,0.7333333268761635,1203.7500000102834
37,lambda=0.1,0.6000000238418579,0.4416666626930237,0.7166666388511658,0.7208333313465118,1497.362333345033
37,lambda=0.3,0.5166666507720947,0.6000000238418579,0.7250000238418579,0.7708333432674408,1184.1770000076697
37,lambda=1.0,0.5166666507720947,0.574999988079071,0.5583333373069763,0.7145833373069763,1031.225666665705
