seed,probe,value
11,F_probe,0.8071428537368774
11,R_probe,0.5952380895614624
11,C_probe,0.9285714030265808
11,joint_RC_probe,0.6833333373069763
11,final_R,0.5833333134651184
11,final_RC,0.5083333253860474
23,F_probe,0.811904788017273
23,R_probe,0.6571428775787354
23,C_probe,0.9226190447807312
23,joint_RC_probe,0.8166666626930237
23,final_R,0.7166666388511658
23,final_RC,0.49166667461395264
37,F_probe,0.800000011920929
37,R_probe,0.6023809313774109
37,C_probe,0.9119047522544861
37,joint_RC_probe,0.7333333492279053
37,final_R,0.7250000238418579
37,final_RC,0.5833333134651184
