seed,policy,R,RC,FRC
11,oracle_k=1,0.6499999761581421,0.5166666507720947,0.800000011920929
11,oracle_k=2,0.6666666865348816,0.5166666507720947,0.800000011920929
11,oracle_k=3,0.6583333611488342,0.5166666507720947,0.800000011920929
23,oracle_k=1,0.7749999761581421,0.5833333134651184,0.8666666746139526
23,oracle_k=2,0.7666666507720947,0.5666666626930237,0.8333333134651184
23,oracle_k=3,0.7749999761581421,0.5416666865348816,0.8416666388511658
37,oracle_k=1,0.7250000238418579,0.6166666746139526,0.7666666507720947
37,oracle_k=2,0.7666666507720947,0.6333333253860474,0.7666666507720947
37,oracle_k=3,0.7583333253860474,0.6000000238418579,0.7666666507720947
