seed,probe_overall,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC
11,0.4928571283817291,1.0,0.4749999940395355,0.36666667461395264,0.6333333253860474,0.375,0.21666666865348816,0.38333332538604736
23,0.47976189851760864,1.0,0.6166666746139526,0.28333333134651184,0.40833333134651184,0.2750000059604645,0.4583333432674408,0.3166666626930237
37,0.4892857074737549,1.0,0.5166666507720947,0.28333333134651184,0.5333333611488342,0.36666667461395264,0.36666667461395264,0.3583333194255829
