seed,phase10_ceiling,phase10_k1_mixed,oracle_ceiling_mixed_mean
11,0.6666666716337204,0.5333333313465118,0.6666666716337204
23,0.6645833402872086,0.5291666612029076,0.6645833402872086
37,0.6604166477918625,0.5020833387970924,0.6624999940395355
