seed,method,overall,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC
11,raw,0.6059523820877075,0.75,0.800000011920929,0.46666666865348816,0.6166666746139526,0.574999988079071,0.49166667461395264,0.5416666865348816
11,weighted_router,0.6059523820877075,0.75,0.800000011920929,0.46666666865348816,0.6166666746139526,0.574999988079071,0.49166667461395264,0.5416666865348816
11,concat_linear,0.699999988079071,1.0,0.8500000238418579,0.5583333373069763,0.7833333611488342,0.5249999761581421,0.6166666746139526,0.5666666626930237
11,residual,0.6059523820877075,0.75,0.800000011920929,0.46666666865348816,0.6166666746139526,0.574999988079071,0.49166667461395264,0.5416666865348816
11,concat_only_pooled,0.511904776096344,0.5,0.40833333134651184,0.5,0.5583333373069763,0.5916666388511658,0.5,0.5249999761581421
23,raw,0.6071428656578064,1.0,0.5583333373069763,0.49166667461395264,0.7166666388511658,0.5,0.5249999761581421,0.4583333432674408
23,weighted_router,0.6071428656578064,1.0,0.5583333373069763,0.49166667461395264,0.7166666388511658,0.5,0.5249999761581421,0.4583333432674408
23,concat_linear,0.688095211982727,1.0,0.8083333373069763,0.625,0.8333333134651184,0.5083333253860474,0.550000011920929,0.49166667461395264
23,residual,0.6071428656578064,1.0,0.5583333373069763,0.49166667461395264,0.7166666388511658,0.5,0.5249999761581421,0.4583333432674408
23,concat_only_pooled,0.49166667461395264,0.5,0.49166667461395264,0.5,0.4583333432674408,0.5083333253860474,0.5,0.4833333194255829
37,raw,0.538095235824585,0.75,0.5416666865348816,0.5083333253860474,0.5416666865348816,0.40833333134651184,0.5,0.5166666507720947
37,weighted_router,0.538095235824585,0.75,0.5416666865348816,0.5083333253860474,0.5416666865348816,0.40833333134651184,0.5,0.5166666507720947
37,concat_linear,0.686904788017273,1.0,0.6416666507720947,0.6000000238418579,0.8500000238418579,0.574999988079071,0.6166666746139526,0.5249999761581421
37,residual,0.538095235824585,0.75,0.5416666865348816,0.5083333253860474,0.5416666865348816,0.40833333134651184,0.5,0.5166666507720947
37,concat_only_pooled,0.48571428656578064,0.5,0.49166667461395264,0.5,0.5,0.4000000059604645,0.5,0.5083333253860474
