seed,sequence,k,overall,flops,params_expert_total,params_adapter,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC
11,mlp,1,0.598809540271759,8928.0,3914,0,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421
11,graph,1,0.5392857193946838,8112.0,3866,0,0.5,0.7416666746139526,0.5,0.40833333134651184,0.6083333492279053,0.49166667461395264,0.5249999761581421
11,attention_v2,1,0.6166666746139526,46296.0,3914,0,0.5249999761581421,0.5416666865348816,1.0,0.4166666567325592,0.5166666507720947,0.5083333253860474,0.8083333373069763
11,mlp+graph,2,0.5035714507102966,17040.0,7780,0,0.4000000059604645,0.6166666746139526,0.5083333253860474,0.38333332538604736,0.6000000238418579,0.5,0.5166666507720947
11,graph+mlp,2,0.598809540271759,17040.0,7780,0,0.75,0.625,0.5249999761581421,0.6833333373069763,0.5583333373069763,0.5166666507720947,0.5333333611488342
11,mlp+attention_v2,2,0.6833333373069763,55224.0,7828,0,0.75,0.5249999761581421,0.9916666746139526,0.699999988079071,0.5083333253860474,0.5083333253860474,0.800000011920929
11,attention_v2+mlp,2,0.7178571224212646,55224.0,7828,0,1.0,0.5916666388511658,0.9083333611488342,0.75,0.5,0.5,0.7749999761581421
11,graph+attention_v2,2,0.5833333134651184,54408.0,7780,0,0.5,0.49166667461395264,0.8083333373069763,0.574999988079071,0.49166667461395264,0.5333333611488342,0.6833333373069763
11,attention_v2+graph,2,0.5226190686225891,54408.0,7780,0,0.5,0.5,0.5,0.550000011920929,0.5916666388511658,0.49166667461395264,0.5249999761581421
11,mlp+graph+attention_v2,3,0.6547619104385376,63336.0,11694,0,0.7416666746139526,0.5166666507720947,0.9416666626930237,0.5916666388511658,0.5083333253860474,0.5083333253860474,0.7749999761581421
23,mlp,1,0.6071428656578064,8928.0,3914,0,1.0,0.49166667461395264,0.5166666507720947,0.7333333492279053,0.5,0.5333333611488342,0.4749999940395355
23,graph,1,0.5785714387893677,8112.0,3866,0,0.5,0.7833333611488342,0.5083333253860474,0.6916666626930237,0.5583333373069763,0.5083333253860474,0.5
23,attention_v2,1,0.6297619342803955,46296.0,3914,0,0.5416666865348816,0.49166667461395264,0.9916666746139526,0.5249999761581421,0.5083333253860474,0.5166666507720947,0.8333333134651184
23,mlp+graph,2,0.5452380776405334,17040.0,7780,0,0.75,0.5166666507720947,0.49166667461395264,0.5583333373069763,0.4833333194255829,0.5,0.5166666507720947
23,graph+mlp,2,0.5083333253860474,17040.0,7780,0,0.5,0.5083333253860474,0.49166667461395264,0.5416666865348816,0.4833333194255829,0.5166666507720947,0.5166666507720947
23,mlp+attention_v2,2,0.6154761910438538,55224.0,7828,0,0.5,0.4749999940395355,0.9916666746139526,0.5,0.5166666507720947,0.5083333253860474,0.8166666626930237
23,attention_v2+mlp,2,0.6607142686843872,55224.0,7828,0,1.0,0.49166667461395264,0.75,0.7166666388511658,0.5333333611488342,0.44999998807907104,0.6833333373069763
23,graph+attention_v2,2,0.5297619104385376,54408.0,7780,0,0.25,0.5083333253860474,0.8500000238418579,0.30000001192092896,0.5416666865348816,0.4833333194255829,0.7749999761581421
23,attention_v2+graph,2,0.5547618865966797,54408.0,7780,0,0.75,0.5416666865348816,0.46666666865348816,0.6666666865348816,0.4833333194255829,0.5083333253860474,0.46666666865348816
23,mlp+graph+attention_v2,3,0.5166666507720947,63336.0,11694,0,0.25,0.5083333253860474,0.8333333134651184,0.30000001192092896,0.5083333253860474,0.4833333194255829,0.7333333492279053
37,mlp,1,0.5964285731315613,8928.0,3914,0,1.0,0.49166667461395264,0.5,0.7749999761581421,0.4000000059604645,0.5,0.5083333253860474
37,graph,1,0.5571428537368774,8112.0,3866,0,0.75,0.6916666626930237,0.4833333194255829,0.5416666865348816,0.44999998807907104,0.4166666567325592,0.5666666626930237
37,attention_v2,1,0.6464285850524902,46296.0,3914,0,0.46666666865348816,0.6000000238418579,1.0,0.5916666388511658,0.5916666388511658,0.5,0.7749999761581421
37,mlp+graph,2,0.49642857909202576,17040.0,7780,0,0.5,0.5083333253860474,0.4833333194255829,0.4416666626930237,0.574999988079071,0.46666666865348816,0.5
37,graph+mlp,2,0.5047619342803955,17040.0,7780,0,0.5,0.4166666567325592,0.4833333194255829,0.5416666865348816,0.574999988079071,0.5249999761581421,0.49166667461395264
37,mlp+attention_v2,2,0.6773809790611267,55224.0,7828,0,0.7416666746139526,0.49166667461395264,0.9750000238418579,0.6916666626930237,0.5916666388511658,0.49166667461395264,0.7583333253860474
37,attention_v2+mlp,2,0.6297619342803955,55224.0,7828,0,0.75,0.5,0.7333333492279053,0.7333333492279053,0.5833333134651184,0.5083333253860474,0.6000000238418579
37,graph+attention_v2,2,0.5440475940704346,54408.0,7780,0,0.5,0.42500001192092896,0.6583333611488342,0.5416666865348816,0.5916666388511658,0.5249999761581421,0.5666666626930237
37,attention_v2+graph,2,0.5023809671401978,54408.0,7780,0,0.5,0.5833333134651184,0.5333333611488342,0.49166667461395264,0.4166666567325592,0.4749999940395355,0.5166666507720947
37,mlp+graph+attention_v2,3,0.4809523820877075,63336.0,11694,0,0.25,0.4833333194255829,0.6416666507720947,0.4166666567325592,0.5583333373069763,0.4749999940395355,0.5416666865348816
