seed,expert,F,R,C,FR,RC,FC,FRC
11,mlp,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421
11,graph,0.5,0.7416666746139526,0.5,0.40833333134651184,0.6083333492279053,0.49166667461395264,0.5249999761581421
11,attention,0.5583333373069763,0.5083333253860474,0.4583333432674408,0.5583333373069763,0.4333333373069763,0.4416666626930237,0.4583333432674408
11,attention_v2,0.5249999761581421,0.5416666865348816,1.0,0.4166666567325592,0.5166666507720947,0.5083333253860474,0.8083333373069763
11,joint_baseline,1.0,0.550000011920929,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.49166667461395264,0.8083333373069763
11,joint_extended,1.0,0.4333333373069763,1.0,0.699999988079071,0.5083333253860474,0.5083333253860474,0.8083333373069763
11,joint_coadapted,1.0,0.574999988079071,0.9916666746139526,0.7583333253860474,0.5166666507720947,0.49166667461395264,0.800000011920929
23,mlp,1.0,0.49166667461395264,0.5166666507720947,0.7333333492279053,0.5,0.5333333611488342,0.4749999940395355
23,graph,0.5,0.7833333611488342,0.5083333253860474,0.6916666626930237,0.5583333373069763,0.5083333253860474,0.5
23,attention,0.5,0.550000011920929,0.5,0.5,0.5166666507720947,0.4833333194255829,0.5666666626930237
23,attention_v2,0.5416666865348816,0.49166667461395264,0.9916666746139526,0.5249999761581421,0.5083333253860474,0.5166666507720947,0.8333333134651184
23,joint_baseline,1.0,0.6166666746139526,0.9916666746139526,0.7333333492279053,0.5083333253860474,0.5,0.8333333134651184
23,joint_extended,1.0,0.625,1.0,0.7333333492279053,0.5083333253860474,0.5,0.8333333134651184
23,joint_coadapted,1.0,0.6416666507720947,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.49166667461395264,0.8333333134651184
37,mlp,1.0,0.49166667461395264,0.5,0.7749999761581421,0.4000000059604645,0.5,0.5083333253860474
37,graph,0.75,0.6916666626930237,0.4833333194255829,0.5416666865348816,0.44999998807907104,0.4166666567325592,0.5666666626930237
37,attention,0.5,0.5166666507720947,0.49166667461395264,0.4583333432674408,0.5,0.44999998807907104,0.5916666388511658
37,attention_v2,0.46666666865348816,0.6000000238418579,1.0,0.5916666388511658,0.5916666388511658,0.5,0.7749999761581421
37,joint_baseline,1.0,0.675000011920929,0.9916666746139526,0.7833333611488342,0.5916666388511658,0.49166667461395264,0.7833333611488342
37,joint_extended,1.0,0.5916666388511658,0.9916666746139526,0.75,0.574999988079071,0.4833333194255829,0.7666666507720947
37,joint_coadapted,1.0,0.574999988079071,0.9916666746139526,0.7666666507720947,0.5833333134651184,0.4833333194255829,0.7583333253860474
