seed,policy,F,R,C,FR,RC,FC,FRC
11,k=1,1.0,0.7416666746139526,1.0,0.7583333253860474,0.6083333492279053,0.5083333253860474,0.8083333373069763
11,k=2,1.0,0.800000011920929,1.0,0.7833333611488342,0.574999988079071,0.5,0.8083333373069763
11,k=3,1.0,0.7083333134651184,1.0,0.7583333253860474,0.5416666865348816,0.5083333253860474,0.8083333373069763
23,k=1,1.0,0.7833333611488342,0.9916666746139526,0.7583333253860474,0.5583333373069763,0.5333333611488342,0.8333333134651184
23,k=2,1.0,0.7583333253860474,0.9916666746139526,0.7583333253860474,0.5583333373069763,0.5249999761581421,0.8333333134651184
23,k=3,1.0,0.6916666626930237,0.9916666746139526,0.7583333253860474,0.5166666507720947,0.5333333611488342,0.8333333134651184
37,k=1,1.0,0.6916666626930237,1.0,0.7749999761581421,0.5916666388511658,0.5,0.7749999761581421
37,k=2,1.0,0.6583333611488342,1.0,0.7916666865348816,0.5916666388511658,0.5,0.7833333611488342
37,k=3,1.0,0.6666666865348816,1.0,0.7916666865348816,0.5916666388511658,0.5,0.7833333611488342
