seed,condition,ablation,family,accuracy
37,ablation_baseline,all,FRC,0.7833333611488342
37,ablation_baseline,all,overall,0.7595238089561462
37,ablation_baseline,feature,F,0.75
37,ablation_baseline,feature,R,0.5083333253860474
37,ablation_baseline,feature,C,0.9916666746139526
37,ablation_baseline,feature,FR,0.6333333253860474
37,ablation_baseline,feature,RC,0.5833333134651184
37,ablation_baseline,feature,FC,0.5
37,ablation_baseline,feature,FRC,0.7666666507720947
37,ablation_baseline,feature,overall,0.6761904954910278
37,ablation_baseline,graph,F,1.0
37,ablation_baseline,graph,R,0.625
37,ablation_baseline,graph,C,1.0
37,ablation_baseline,graph,FR,0.7666666507720947
37,ablation_baseline,graph,RC,0.5916666388511658
37,ablation_baseline,graph,FC,0.5
37,ablation_baseline,graph,FRC,0.7749999761581421
37,ablation_baseline,graph,overall,0.7511904835700989
37,ablation_baseline,context,F,1.0
37,ablation_baseline,context,R,0.6499999761581421
37,ablation_baseline,context,C,0.5166666507720947
37,ablation_baseline,context,FR,0.7916666865348816
37,ablation_baseline,context,RC,0.5166666507720947
37,ablation_baseline,context,FC,0.5249999761581421
37,ablation_baseline,context,FRC,0.36666667461395264
37,ablation_baseline,context,overall,0.6238095164299011
37,ablation_coadapted,all,F,1.0
37,ablation_coadapted,all,R,0.574999988079071
37,ablation_coadapted,all,C,0.9916666746139526
37,ablation_coadapted,all,FR,0.7666666507720947
37,ablation_coadapted,all,RC,0.5833333134651184
37,ablation_coadapted,all,FC,0.4833333194255829
37,ablation_coadapted,all,FRC,0.7583333253860474
37,ablation_coadapted,all,overall,0.7369047403335571
37,ablation_coadapted,feature,F,0.9583333134651184
37,ablation_coadapted,feature,R,0.574999988079071
37,ablation_coadapted,feature,C,1.0
37,ablation_coadapted,feature,FR,0.699999988079071
37,ablation_coadapted,feature,RC,0.574999988079071
37,ablation_coadapted,feature,FC,0.4833333194255829
37,ablation_coadapted,feature,FRC,0.7583333253860474
37,ablation_coadapted,feature,overall,0.7214285731315613
37,ablation_coadapted,graph,F,1.0
37,ablation_coadapted,graph,R,0.574999988079071
37,ablation_coadapted,graph,C,0.9833333492279053
37,ablation_coadapted,graph,FR,0.7833333611488342
37,ablation_coadapted,graph,RC,0.574999988079071
37,ablation_coadapted,graph,FC,0.4833333194255829
37,ablation_coadapted,graph,FRC,0.7416666746139526
37,ablation_coadapted,graph,overall,0.7345238327980042
37,ablation_coadapted,context,F,0.9833333492279053
37,ablation_coadapted,context,R,0.5833333134651184
37,ablation_coadapted,context,C,0.800000011920929
37,ablation_coadapted,context,FR,0.6666666865348816
37,ablation_coadapted,context,RC,0.5416666865348816
37,ablation_coadapted,context,FC,0.5
37,ablation_coadapted,context,FRC,0.6583333611488342
37,ablation_coadapted,context,overall,0.6761904954910278
