seed,policy,strategy,lambda,overall_accuracy,pure_accuracy,mixed_accuracy,mean_flops,active_experts,p_k1,p_k2,p_k3,k_entropy,composition_entropy,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC
11,Adaptive k (Learned),learned,0.0,0.6571428775787354,0.7388888796170553,0.5958333387970924,60411.409523809525,2.9309523809523808,0.0,0.06904761904761905,0.930952380952381,0.36235945908070755,1.3795208105789663,0.8999999761581421,0.6083333492279053,0.7083333134651184,0.675000011920929,0.5666666626930237,0.4833333194255829,0.6583333611488342
11,Adaptive k (Cost-Aware λ=0.01),learned,0.01,0.625,0.7027777830759684,0.5666666701436043,38510.39523809524,2.413095238095238,0.0,0.5869047619047619,0.41309523809523807,0.9780972031673525,1.7631983829335685,1.0,0.6583333611488342,0.44999998807907104,0.675000011920929,0.5666666626930237,0.4833333194255829,0.5416666865348816
11,Adaptive k (Cost-Aware λ=0.10),learned,0.1,0.5964285731315613,0.6611110965410868,0.5479166656732559,59766.8,3.0,0.0,0.0,1.0,0.0,0.934068055375491,0.8999999761581421,0.6416666507720947,0.4416666626930237,0.6166666746139526,0.5583333373069763,0.5083333253860474,0.5083333253860474
11,Adaptive k (Cost-Aware λ=0.30),learned,0.3,0.7071428298950195,0.8444444338480631,0.6041666567325592,59994.89523809524,2.8380952380952382,0.08095238095238096,0.0,0.919047619047619,0.4055261057899547,0.4055261057899547,0.8999999761581421,0.6416666507720947,0.9916666746139526,0.5916666388511658,0.5166666507720947,0.5,0.8083333373069763
11,Adaptive k (Cost-Aware λ=1.00),learned,1.0,0.6833333373069763,0.774999996026357,0.6145833432674408,62729.65714285714,2.857142857142857,0.03571428571428571,0.07142857142857142,0.8928571428571429,0.5896261811873141,0.6949603732825571,0.6916666626930237,0.6416666507720947,0.9916666746139526,0.6166666746139526,0.5333333611488342,0.5,0.8083333373069763
11,Adaptive k (Entropy-Based),entropy,0.0,0.598809540271759,0.6805555522441864,0.5374999940395355,12711.028571428571,1.0714285714285714,0.9285714285714286,0.07142857142857142,0.0,0.37123232664087563,0.6859142270736225,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421
11,Adaptive k (Margin-Based),margin,0.0,0.598809540271759,0.6805555522441864,0.5374999940395355,12138.938095238096,1.0202380952380952,0.986904761904762,0.005952380952380952,0.007142857142857143,0.11369353060809778,0.4090964116359899,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421
11,Random Composition (Control A6),random,0.0,0.598809540271759,0.6722222169240316,0.543749988079071,52856.73333333333,1.9833333333333334,0.33690476190476193,0.34285714285714286,0.3202380952380952,1.5843644954464315,3.7786044003042782,0.6416666507720947,0.6000000238418579,0.7749999761581421,0.5916666388511658,0.4416666626930237,0.5,0.6416666507720947
23,Adaptive k (Learned),learned,0.0,0.6809523701667786,0.7944444417953491,0.5958333313465118,71809.31428571428,3.0,0.0,0.0,1.0,0.0,1.3591485184683745,0.9833333492279053,0.5666666626930237,0.8333333134651184,0.675000011920929,0.44999998807907104,0.5666666626930237,0.6916666626930237
23,Adaptive k (Cost-Aware λ=0.01),learned,0.01,0.6761904954910278,0.7388888796170553,0.6291666626930237,43809.51904761905,1.1297619047619047,0.875,0.12023809523809524,0.004761904761904762,0.5727506570055626,1.2114380909016327,0.75,0.5,0.9666666388511658,0.6499999761581421,0.5,0.5416666865348816,0.824999988079071
23,Adaptive k (Cost-Aware λ=0.10),learned,0.1,0.6273809671401978,0.7166666686534882,0.5604166612029076,43428.74285714285,1.8571428571428572,0.14285714285714285,0.8571428571428571,0.0,0.5916727785823275,1.3061126410255253,1.0,0.6666666865348816,0.4833333194255829,0.699999988079071,0.5583333373069763,0.5,0.4833333194255829
23,Adaptive k (Cost-Aware λ=0.30),learned,0.3,0.6166666746139526,0.6888888776302338,0.5624999925494194,52483.18095238095,2.780952380952381,0.10952380952380952,0.0,0.8904761904761904,0.4984779510551734,0.7953273526784208,1.0,0.5833333134651184,0.4833333194255829,0.7166666388511658,0.5166666507720947,0.5333333611488342,0.4833333194255829
23,Adaptive k (Cost-Aware λ=1.00),learned,1.0,0.6071428656578064,0.6666666666666666,0.5625000074505806,10148.252380952381,1.0202380952380952,0.9797619047619047,0.02023809523809524,0.0,0.14277529991820162,0.14277529991820162,1.0,0.49166667461395264,0.5083333253860474,0.7333333492279053,0.5083333253860474,0.5333333611488342,0.4749999940395355
23,Adaptive k (Entropy-Based),entropy,0.0,0.6154761910438538,0.6722222169240316,0.5729166641831398,33490.30952380953,1.3345238095238094,0.7773809523809524,0.11071428571428571,0.11190476190476191,0.9875355092844986,1.6454393018468545,1.0,0.5166666507720947,0.5,0.7250000238418579,0.5166666507720947,0.4833333194255829,0.5666666626930237
