seed,policy,router_us,expert_us,agg_us,total_us
11,k=1 Baseline (Phase 8B),84.60958333671442,34.42466666456312,0.0,119.03425000127754
11,Fixed k=2 (Uniform C1),84.60958333671442,59.91466665363987,0.8620833311094126,145.3863333214637
11,Fixed k=3,84.60958333671442,117.00883332499265,0.7767499846522696,202.39516664635934
11,Adaptive k (Learned),84.60958333671442,60.24316666298546,0.8620833311094126,145.71483333080928
11,Sequential Graph->MLP,0.0,59.91466665363987,0.0,59.91466665363987
23,k=1 Baseline (Phase 8B),96.6997500169479,34.452500009744355,0.0,131.15225002669226
23,Fixed k=2 (Uniform C1),96.6997500169479,56.431666695668056,0.7344999964213154,153.86591670903726
23,Fixed k=3,96.6997500169479,115.16691671204171,0.7278333396243397,212.59450006861397
23,Adaptive k (Learned),96.6997500169479,60.29187501705262,0.7344999964213154,157.72612503042183
23,Sequential Graph->MLP,0.0,56.431666695668056,0.0,56.431666695668056
37,k=1 Baseline (Phase 8B),86.97241667202131,34.97141666684911,0.0,121.94383333887042
37,Fixed k=2 (Uniform C1),86.97241667202131,64.88025001090136,0.704916656104615,152.5575833390273
37,Fixed k=3,86.97241667202131,118.92700000923165,0.7279166796555122,206.6273333609085
37,Adaptive k (Learned),86.97241667202131,61.19997916698594,0.704916656104615,148.87731249511188
37,Sequential Graph->MLP,0.0,64.88025001090136,0.0,64.88025001090136
