seed,condition,F,R,C,FR,RC,FC,FRC,overall
11,agg_sum,1.0,0.5583333373069763,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5,0.800000011920929,0.7309523820877075
11,agg_max,1.0,0.574999988079071,0.9916666746139526,0.75,0.5166666507720947,0.5083333253860474,0.800000011920929,0.7345238327980042
23,agg_sum,1.0,0.625,0.9916666746139526,0.6916666626930237,0.5166666507720947,0.5,0.8166666626930237,0.7345238327980042
23,agg_max,1.0,0.6083333492279053,1.0,0.7583333253860474,0.5083333253860474,0.5,0.824999988079071,0.7428571581840515
37,agg_sum,1.0,0.6166666746139526,0.9833333492279053,0.8333333134651184,0.5833333134651184,0.49166667461395264,0.7666666507720947,0.7535714507102966
37,agg_max,1.0,0.675000011920929,0.9916666746139526,0.800000011920929,0.5916666388511658,0.49166667461395264,0.7833333611488342,0.761904776096344
