seed,condition,F,R,C,FR,RC,FC,FRC,overall,probe_R,gap
11,baseline,1.0,0.5,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.49166667461395264,0.800000011920929,0.7214285731315613,0.8166666626930237,0.3166666626930237
11,depth2,1.0,0.4333333373069763,0.9916666746139526,0.7333333492279053,0.5166666507720947,0.5,0.800000011920929,0.7107142806053162,0.8416666388511658,0.40833330154418945
11,depth3,1.0,0.6000000238418579,0.9833333492279053,0.7583333253860474,0.5166666507720947,0.5,0.800000011920929,0.7369047403335571,0.8333333134651184,0.2333332896232605
23,baseline,1.0,0.6000000238418579,0.9916666746139526,0.7583333253860474,0.5166666507720947,0.5083333253860474,0.8333333134651184,0.7440476417541504,0.7666666507720947,0.16666662693023682
23,depth2,1.0,0.6166666746139526,1.0,0.7583333253860474,0.5083333253860474,0.5,0.8333333134651184,0.7452380657196045,0.7666666507720947,0.1499999761581421
23,depth3,1.0,0.6333333253860474,1.0,0.7250000238418579,0.5083333253860474,0.5,0.8333333134651184,0.7428571581840515,0.8833333253860474,0.25
37,baseline,1.0,0.6333333253860474,0.9833333492279053,0.7916666865348816,0.5916666388511658,0.4833333194255829,0.75,0.7476190328598022,0.7250000238418579,0.09166669845581055
37,depth2,1.0,0.6666666865348816,0.9916666746139526,0.8083333373069763,0.574999988079071,0.49166667461395264,0.7749999761581421,0.7583333253860474,0.8583333492279053,0.19166666269302368
37,depth3,1.0,0.6416666507720947,0.9916666746139526,0.8166666626930237,0.5833333134651184,0.5,0.7666666507720947,0.7571428418159485,0.8083333373069763,0.1666666865348816
