seed,condition,probe_R,final_R,gap
11,baseline,0.8166666626930237,0.5,0.3166666626930237
11,depth2,0.8416666388511658,0.4333333373069763,0.40833330154418945
11,depth3,0.8333333134651184,0.6000000238418579,0.2333332896232605
11,agg_sum,0.8166666626930237,0.5583333373069763,0.25833332538604736
11,agg_max,0.8166666626930237,0.574999988079071,0.24166667461395264
11,cap_mlp,0.8833333253860474,0.574999988079071,0.3083333373069763
11,cap_control_featwide,0.824999988079071,0.44999998807907104,0.375
11,graph_standalone,0.9583333134651184,0.9083333611488342,0.04999995231628418
23,baseline,0.7666666507720947,0.6000000238418579,0.16666662693023682
23,depth2,0.7666666507720947,0.6166666746139526,0.1499999761581421
23,depth3,0.8833333253860474,0.6333333253860474,0.25
23,agg_sum,0.7749999761581421,0.625,0.1499999761581421
23,agg_max,0.7833333611488342,0.6083333492279053,0.17500001192092896
23,cap_mlp,0.8999999761581421,0.625,0.2749999761581421
23,cap_control_featwide,0.6583333611488342,0.6083333492279053,0.050000011920928955
23,graph_standalone,0.9750000238418579,0.925000011920929,0.050000011920928955
37,baseline,0.7250000238418579,0.6333333253860474,0.09166669845581055
37,depth2,0.8583333492279053,0.6666666865348816,0.19166666269302368
37,depth3,0.8083333373069763,0.6416666507720947,0.1666666865348816
37,agg_sum,0.800000011920929,0.6166666746139526,0.18333333730697632
37,agg_max,0.7749999761581421,0.675000011920929,0.09999996423721313
37,cap_mlp,0.800000011920929,0.6499999761581421,0.15000003576278687
37,cap_control_featwide,0.6416666507720947,0.5166666507720947,0.125
37,graph_standalone,0.8916666507720947,0.8416666388511658,0.050000011920928955
