seed,condition,control,variant,R,RC,FRC
11,baseline,destruction,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.800000011920929
11,baseline,marker,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,marker,marker_neutralised,0.5583333373069763,0.5166666507720947,0.5249999761581421
11,baseline,token,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,token,token_permuted,0.4833333194255829,0.5083333253860474,0.800000011920929
11,depth2,destruction,original,0.4333333373069763,0.5166666507720947,0.800000011920929
11,depth2,destruction,relational_permuted,0.4333333373069763,0.5166666507720947,0.800000011920929
11,depth2,marker,original,0.4333333373069763,0.5166666507720947,0.800000011920929
11,depth2,marker,marker_neutralised,0.40833333134651184,0.550000011920929,0.4833333194255829
11,depth2,token,original,0.4333333373069763,0.5166666507720947,0.800000011920929
11,depth2,token,token_permuted,0.4333333373069763,0.5166666507720947,0.800000011920929
11,depth3,destruction,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,destruction,relational_permuted,0.5666666626930237,0.5083333253860474,0.800000011920929
11,depth3,marker,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,marker,marker_neutralised,0.4583333432674408,0.5166666507720947,0.4833333194255829
11,depth3,token,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,token,token_permuted,0.5249999761581421,0.5083333253860474,0.800000011920929
11,agg_sum,destruction,original,0.5583333373069763,0.5083333253860474,0.800000011920929
11,agg_sum,destruction,relational_permuted,0.49166667461395264,0.5083333253860474,0.800000011920929
11,agg_sum,marker,original,0.5583333373069763,0.5083333253860474,0.800000011920929
11,agg_sum,marker,marker_neutralised,0.550000011920929,0.4833333194255829,0.5333333611488342
11,agg_sum,token,original,0.5583333373069763,0.5083333253860474,0.800000011920929
11,agg_sum,token,token_permuted,0.4749999940395355,0.5083333253860474,0.800000011920929
11,agg_max,destruction,original,0.574999988079071,0.5166666507720947,0.800000011920929
11,agg_max,destruction,relational_permuted,0.5249999761581421,0.5083333253860474,0.800000011920929
11,agg_max,marker,original,0.574999988079071,0.5166666507720947,0.800000011920929
11,agg_max,marker,marker_neutralised,0.5083333253860474,0.5333333611488342,0.4749999940395355
11,agg_max,token,original,0.574999988079071,0.5166666507720947,0.800000011920929
11,agg_max,token,token_permuted,0.5,0.5083333253860474,0.800000011920929
11,cap_mlp,destruction,original,0.574999988079071,0.5166666507720947,0.800000011920929
11,cap_mlp,destruction,relational_permuted,0.5166666507720947,0.5083333253860474,0.800000011920929
11,cap_mlp,marker,original,0.574999988079071,0.5166666507720947,0.800000011920929
11,cap_mlp,marker,marker_neutralised,0.5916666388511658,0.5,0.550000011920929
11,cap_mlp,token,original,0.574999988079071,0.5166666507720947,0.800000011920929
11,cap_mlp,token,token_permuted,0.4749999940395355,0.5083333253860474,0.800000011920929
11,cap_control_featwide,destruction,original,0.44999998807907104,0.5166666507720947,0.800000011920929
11,cap_control_featwide,destruction,relational_permuted,0.42500001192092896,0.5166666507720947,0.800000011920929
11,cap_control_featwide,marker,original,0.44999998807907104,0.5166666507720947,0.800000011920929
11,cap_control_featwide,marker,marker_neutralised,0.40833333134651184,0.5249999761581421,0.5
11,cap_control_featwide,token,original,0.44999998807907104,0.5166666507720947,0.800000011920929
11,cap_control_featwide,token,token_permuted,0.4166666567325592,0.5166666507720947,0.800000011920929
23,baseline,destruction,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.8333333134651184
23,baseline,marker,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,marker,marker_neutralised,0.6499999761581421,0.5416666865348816,0.4416666626930237
23,baseline,token,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,token,token_permuted,0.5083333253860474,0.5083333253860474,0.824999988079071
23,depth2,destruction,original,0.6166666746139526,0.5083333253860474,0.8333333134651184
23,depth2,destruction,relational_permuted,0.5333333611488342,0.5083333253860474,0.824999988079071
23,depth2,marker,original,0.6166666746139526,0.5083333253860474,0.8333333134651184
23,depth2,marker,marker_neutralised,0.6333333253860474,0.5333333611488342,0.4333333373069763
23,depth2,token,original,0.6166666746139526,0.5083333253860474,0.8333333134651184
23,depth2,token,token_permuted,0.5166666507720947,0.5083333253860474,0.824999988079071
23,depth3,destruction,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,destruction,relational_permuted,0.550000011920929,0.5083333253860474,0.8333333134651184
23,depth3,marker,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,marker,marker_neutralised,0.5833333134651184,0.5166666507720947,0.4416666626930237
23,depth3,token,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,token,token_permuted,0.5249999761581421,0.5083333253860474,0.8333333134651184
23,agg_sum,destruction,original,0.625,0.5166666507720947,0.8166666626930237
23,agg_sum,destruction,relational_permuted,0.5416666865348816,0.5083333253860474,0.824999988079071
23,agg_sum,marker,original,0.625,0.5166666507720947,0.8166666626930237
23,agg_sum,marker,marker_neutralised,0.6166666746139526,0.49166667461395264,0.44999998807907104
23,agg_sum,token,original,0.625,0.5166666507720947,0.8166666626930237
23,agg_sum,token,token_permuted,0.550000011920929,0.5083333253860474,0.824999988079071
23,agg_max,destruction,original,0.6083333492279053,0.5083333253860474,0.824999988079071
23,agg_max,destruction,relational_permuted,0.5249999761581421,0.5083333253860474,0.824999988079071
23,agg_max,marker,original,0.6083333492279053,0.5083333253860474,0.824999988079071
23,agg_max,marker,marker_neutralised,0.6083333492279053,0.5333333611488342,0.4416666626930237
23,agg_max,token,original,0.6083333492279053,0.5083333253860474,0.824999988079071
23,agg_max,token,token_permuted,0.5666666626930237,0.5083333253860474,0.8333333134651184
23,cap_mlp,destruction,original,0.625,0.5166666507720947,0.8333333134651184
23,cap_mlp,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.8333333134651184
23,cap_mlp,marker,original,0.625,0.5166666507720947,0.8333333134651184
23,cap_mlp,marker,marker_neutralised,0.6416666507720947,0.550000011920929,0.40833333134651184
23,cap_mlp,token,original,0.625,0.5166666507720947,0.8333333134651184
23,cap_mlp,token,token_permuted,0.5166666507720947,0.5083333253860474,0.824999988079071
23,cap_control_featwide,destruction,original,0.6083333492279053,0.5083333253860474,0.8333333134651184
23,cap_control_featwide,destruction,relational_permuted,0.5833333134651184,0.5083333253860474,0.824999988079071
23,cap_control_featwide,marker,original,0.6083333492279053,0.5083333253860474,0.8333333134651184
23,cap_control_featwide,marker,marker_neutralised,0.625,0.5249999761581421,0.4583333432674408
23,cap_control_featwide,token,original,0.6083333492279053,0.5083333253860474,0.8333333134651184
23,cap_control_featwide,token,token_permuted,0.5833333134651184,0.5083333253860474,0.8333333134651184
37,baseline,destruction,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,destruction,relational_permuted,0.6083333492279053,0.5916666388511658,0.7583333253860474
37,baseline,marker,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,marker,marker_neutralised,0.6666666865348816,0.44999998807907104,0.49166667461395264
37,baseline,token,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,token,token_permuted,0.6166666746139526,0.5833333134651184,0.75
37,depth2,destruction,original,0.6666666865348816,0.574999988079071,0.7749999761581421
37,depth2,destruction,relational_permuted,0.6166666746139526,0.5916666388511658,0.7833333611488342
37,depth2,marker,original,0.6666666865348816,0.574999988079071,0.7749999761581421
37,depth2,marker,marker_neutralised,0.5833333134651184,0.4583333432674408,0.5333333611488342
37,depth2,token,original,0.6666666865348816,0.574999988079071,0.7749999761581421
37,depth2,token,token_permuted,0.574999988079071,0.574999988079071,0.7833333611488342
37,depth3,destruction,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,destruction,relational_permuted,0.6499999761581421,0.5916666388511658,0.7666666507720947
37,depth3,marker,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,marker,marker_neutralised,0.5833333134651184,0.4416666626930237,0.5
37,depth3,token,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,token,token_permuted,0.625,0.5833333134651184,0.7666666507720947
37,agg_sum,destruction,original,0.6166666746139526,0.5833333134651184,0.7666666507720947
37,agg_sum,destruction,relational_permuted,0.625,0.5916666388511658,0.7833333611488342
37,agg_sum,marker,original,0.6166666746139526,0.5833333134651184,0.7666666507720947
37,agg_sum,marker,marker_neutralised,0.625,0.44999998807907104,0.4833333194255829
37,agg_sum,token,original,0.6166666746139526,0.5833333134651184,0.7666666507720947
37,agg_sum,token,token_permuted,0.5833333134651184,0.5833333134651184,0.7583333253860474
37,agg_max,destruction,original,0.675000011920929,0.5916666388511658,0.7833333611488342
37,agg_max,destruction,relational_permuted,0.6499999761581421,0.5833333134651184,0.7749999761581421
