seed,condition,F,R,C,FR,RC,FC,FRC,overall,rel_params
11,cap_mlp,1.0,0.574999988079071,0.9833333492279053,0.7416666746139526,0.5166666507720947,0.5,0.800000011920929,0.7309523820877075,2376
11,cap_control_featwide,1.0,0.44999998807907104,0.9916666746139526,0.699999988079071,0.5166666507720947,0.5,0.800000011920929,0.7083333134651184,1776
23,cap_mlp,1.0,0.625,0.9916666746139526,0.7083333134651184,0.5166666507720947,0.5083333253860474,0.8333333134651184,0.7404761910438538,2376
23,cap_control_featwide,1.0,0.6083333492279053,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5,0.8333333134651184,0.7428571581840515,1776
37,cap_mlp,1.0,0.6499999761581421,0.9916666746139526,0.7749999761581421,0.574999988079071,0.5,0.7583333253860474,0.75,2376
37,cap_control_featwide,1.0,0.5166666507720947,0.9916666746139526,0.800000011920929,0.5833333134651184,0.5,0.7749999761581421,0.738095223903656,1776
