seed,condition,R,RC,FRC,destruction_drop_R,probe_R,params,latency_us
11,graph_standalone,0.9083333611488342,0.5166666507720947,0.4833333194255829,0.4750000238418579,0.9583333134651184,3866,40.63149998728477
11,jointco_baseline,0.5,0.5083333253860474,0.800000011920929,0.016666680574417114,0.8166666626930237,6464,64.08225000389696
23,graph_standalone,0.925000011920929,0.574999988079071,0.5166666507720947,0.36666667461395264,0.9750000238418579,3866,66.89699999697041
23,jointco_baseline,0.6000000238418579,0.5166666507720947,0.8333333134651184,0.11666670441627502,0.7666666507720947,6464,69.59024999256751
37,graph_standalone,0.8416666388511658,0.4749999940395355,0.5666666626930237,0.32499998807907104,0.8916666507720947,3866,41.19525000229866
37,jointco_baseline,0.6333333253860474,0.5916666388511658,0.75,0.02499997615814209,0.7250000238418579,6464,64.17966666049324
