measure,R_change,C_change,R_n,C_n,control_change,note
aggregate_phase26,0.27586206896551724,0.6206896551724138,58,58,0.29310344827586204,Verified from phase26_clean_compositional/counterfactual.json
per_expert_available,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,Phase 26 predictions.npy MISSING; only aggregate counterfactual exists.
