architecture,F_mean,R_mean,C_mean,FR_mean,RC_mean,FC_mean,FRC_mean,note
attention,0.75,0.4861111144224803,0.5083333452542623,0.6500000059604645,0.49166666467984516,0.6583333412806193,0.5388888915379842,Approximate from expert_results.csv (per-seed means)
attention_v2,1.0,0.49166667461395264,0.8972222010294596,0.7555555701255798,0.4999999900658925,0.7444444497426351,0.6638888915379842,Approximate from expert_results.csv (per-seed means)
graph,1.0,0.6555555462837219,0.524999996026357,0.7305555542310079,0.5722222228844961,0.9805555542310079,0.7361111243565878,Approximate from expert_results.csv (per-seed means)
joint,1.0,0.5444444318612417,0.9638888835906982,0.7444444298744202,0.5083333452542623,0.9888888994852701,0.7388888994852701,Approximate from expert_results.csv (per-seed means)
joint_co,1.0,0.5638888974984487,0.9722222288449606,0.7416666547457377,0.522222230831782,0.9972222248713175,0.7194444537162781,Approximate from expert_results.csv (per-seed means)
joint_co_d3,1.0,0.6416666706403097,0.9833333492279053,0.7083333532015482,0.6027777791023254,0.9805555542310079,0.7472222248713175,Approximate from expert_results.csv (per-seed means)
mlp,1.0,0.5749999980131785,0.49166665474573773,0.7222222089767456,0.48888887961705524,1.0,0.7583333452542623,Approximate from expert_results.csv (per-seed means)
