seed,condition,combination,F,R,C,FR,RC,FC,FRC
11,depth3,F,1.0,0.5583333373069763,0.9166666865348816,0.75,0.5166666507720947,0.5249999761581421,0.7250000238418579
11,depth3,R,1.0,0.5333333611488342,0.9333333373069763,0.75,0.49166667461395264,0.5333333611488342,0.7250000238418579
11,depth3,C,1.0,0.4749999940395355,0.9916666746139526,0.7416666746139526,0.5166666507720947,0.5,0.800000011920929
11,depth3,F+R,1.0,0.6166666746139526,0.8916666507720947,0.7583333253860474,0.5,0.550000011920929,0.7083333134651184
11,depth3,R+C,1.0,0.5416666865348816,0.9916666746139526,0.75,0.5166666507720947,0.5,0.800000011920929
11,depth3,F+C,1.0,0.5583333373069763,0.9833333492279053,0.75,0.5166666507720947,0.5,0.800000011920929
11,depth3,F+R+C,1.0,0.6000000238418579,0.9833333492279053,0.7583333253860474,0.5166666507720947,0.5,0.800000011920929
11,rel_focused,F,0.5,0.5,0.5333333611488342,0.7416666746139526,0.4166666567325592,0.4749999940395355,0.5416666865348816
11,rel_focused,R,1.0,0.5333333611488342,0.5249999761581421,0.7583333253860474,0.4000000059604645,0.5249999761581421,0.550000011920929
11,rel_focused,C,0.5,0.5,0.5333333611488342,0.7416666746139526,0.4166666567325592,0.4749999940395355,0.5416666865348816
11,rel_focused,F+R,1.0,0.5333333611488342,0.5249999761581421,0.7583333253860474,0.4000000059604645,0.5249999761581421,0.550000011920929
11,rel_focused,R+C,1.0,0.5333333611488342,0.5249999761581421,0.7583333253860474,0.4000000059604645,0.5249999761581421,0.550000011920929
11,rel_focused,F+C,0.5,0.5,0.5333333611488342,0.7416666746139526,0.4166666567325592,0.4749999940395355,0.5416666865348816
11,rel_focused,F+R+C,1.0,0.5333333611488342,0.5249999761581421,0.7583333253860474,0.4000000059604645,0.5249999761581421,0.550000011920929
11,rel_first,F,0.5,0.4749999940395355,0.9416666626930237,0.6499999761581421,0.5,0.4833333194255829,0.699999988079071
11,rel_first,R,1.0,0.550000011920929,0.875,0.7416666746139526,0.44999998807907104,0.46666666865348816,0.6833333373069763
11,rel_first,C,0.5,0.4000000059604645,0.9916666746139526,0.5666666626930237,0.5249999761581421,0.49166667461395264,0.800000011920929
11,rel_first,F+R,1.0,0.550000011920929,0.8500000238418579,0.7583333253860474,0.44999998807907104,0.4749999940395355,0.6666666865348816
11,rel_first,R+C,1.0,0.5333333611488342,0.9916666746139526,0.675000011920929,0.5249999761581421,0.49166667461395264,0.7916666865348816
11,rel_first,F+C,0.6000000238418579,0.4333333373069763,0.9916666746139526,0.5833333134651184,0.5249999761581421,0.4833333194255829,0.800000011920929
11,rel_first,F+R+C,1.0,0.5583333373069763,0.9916666746139526,0.7166666388511658,0.5249999761581421,0.5,0.7916666865348816
23,depth3,F,1.0,0.6666666865348816,0.8916666507720947,0.7666666507720947,0.5249999761581421,0.5249999761581421,0.7083333134651184
23,depth3,R,1.0,0.6499999761581421,0.8666666746139526,0.625,0.5,0.5,0.7416666746139526
23,depth3,C,0.7916666865348816,0.625,1.0,0.75,0.5083333253860474,0.5083333253860474,0.8333333134651184
23,depth3,F+R,1.0,0.625,0.8166666626930237,0.7416666746139526,0.5166666507720947,0.5166666507720947,0.6833333373069763
23,depth3,R+C,1.0,0.625,1.0,0.6583333611488342,0.5083333253860474,0.5,0.8333333134651184
23,depth3,F+C,0.9833333492279053,0.6833333373069763,1.0,0.800000011920929,0.5083333253860474,0.5,0.8333333134651184
23,depth3,F+R+C,1.0,0.6333333253860474,1.0,0.7250000238418579,0.5083333253860474,0.5,0.8333333134651184
23,rel_focused,F,0.2916666567325592,0.4749999940395355,0.5249999761581421,0.5916666388511658,0.4749999940395355,0.5249999761581421,0.5249999761581421
23,rel_focused,R,1.0,0.6499999761581421,0.5,0.7416666746139526,0.5,0.40833333134651184,0.5249999761581421
23,rel_focused,C,0.2916666567325592,0.4749999940395355,0.5249999761581421,0.5916666388511658,0.4749999940395355,0.5249999761581421,0.5249999761581421
23,rel_focused,F+R,1.0,0.6499999761581421,0.5,0.7416666746139526,0.5,0.40833333134651184,0.5249999761581421
23,rel_focused,R+C,1.0,0.6499999761581421,0.5,0.7416666746139526,0.5,0.40833333134651184,0.5249999761581421
23,rel_focused,F+C,0.2916666567325592,0.4749999940395355,0.5249999761581421,0.5916666388511658,0.4749999940395355,0.5249999761581421,0.5249999761581421
23,rel_focused,F+R+C,1.0,0.6499999761581421,0.5,0.7416666746139526,0.5,0.40833333134651184,0.5249999761581421
23,rel_first,F,0.5416666865348816,0.5083333253860474,0.9166666865348816,0.7333333492279053,0.5333333611488342,0.4833333194255829,0.7583333253860474
23,rel_first,R,1.0,0.6916666626930237,0.9166666865348816,0.7583333253860474,0.4749999940395355,0.46666666865348816,0.800000011920929
23,rel_first,C,0.699999988079071,0.5166666507720947,1.0,0.7583333253860474,0.5166666507720947,0.5,0.8166666626930237
23,rel_first,F+R,1.0,0.6833333373069763,0.9083333611488342,0.7333333492279053,0.46666666865348816,0.46666666865348816,0.800000011920929
23,rel_first,R+C,1.0,0.7083333134651184,0.9916666746139526,0.7416666746139526,0.5166666507720947,0.4833333194255829,0.824999988079071
23,rel_first,F+C,0.5,0.5166666507720947,1.0,0.7416666746139526,0.5166666507720947,0.5,0.8166666626930237
23,rel_first,F+R+C,1.0,0.7083333134651184,0.9916666746139526,0.7333333492279053,0.5166666507720947,0.4833333194255829,0.824999988079071
37,depth3,F,1.0,0.625,0.7916666865348816,0.8083333373069763,0.5166666507720947,0.5,0.675000011920929
37,depth3,R,1.0,0.675000011920929,0.8416666388511658,0.800000011920929,0.5666666626930237,0.46666666865348816,0.699999988079071
37,depth3,C,1.0,0.5916666388511658,0.9916666746139526,0.8166666626930237,0.5833333134651184,0.5,0.7666666507720947
37,depth3,F+R,1.0,0.675000011920929,0.8333333134651184,0.8166666626930237,0.5583333373069763,0.4833333194255829,0.699999988079071
37,depth3,R+C,1.0,0.6416666507720947,0.9916666746139526,0.7916666865348816,0.5916666388511658,0.5,0.7666666507720947
37,depth3,F+C,1.0,0.6000000238418579,0.9916666746139526,0.8083333373069763,0.5916666388511658,0.5,0.7666666507720947
37,depth3,F+R+C,1.0,0.6416666507720947,0.9916666746139526,0.8166666626930237,0.5833333134651184,0.5,0.7666666507720947
37,rel_focused,F,0.3083333373069763,0.6333333253860474,0.5083333253860474,0.5,0.5916666388511658,0.5083333253860474,0.49166667461395264
37,rel_focused,R,1.0,0.6416666507720947,0.5416666865348816,0.6833333373069763,0.5,0.4583333432674408,0.4333333373069763
37,rel_focused,C,0.3083333373069763,0.6333333253860474,0.5083333253860474,0.5,0.5916666388511658,0.5083333253860474,0.49166667461395264
37,rel_focused,F+R,1.0,0.6416666507720947,0.5416666865348816,0.6833333373069763,0.5,0.4583333432674408,0.4333333373069763
37,rel_focused,R+C,1.0,0.6416666507720947,0.5416666865348816,0.6833333373069763,0.5,0.4583333432674408,0.4333333373069763
37,rel_focused,F+C,0.3083333373069763,0.6333333253860474,0.5083333253860474,0.5,0.5916666388511658,0.5083333253860474,0.49166667461395264
37,rel_focused,F+R+C,1.0,0.6416666507720947,0.5416666865348816,0.6833333373069763,0.5,0.4583333432674408,0.4333333373069763
37,rel_first,F,0.75,0.5166666507720947,0.925000011920929,0.75,0.5916666388511658,0.4833333194255829,0.6666666865348816
37,rel_first,R,1.0,0.5166666507720947,0.7416666746139526,0.7749999761581421,0.5249999761581421,0.4749999940395355,0.5833333134651184
37,rel_first,C,0.5249999761581421,0.5166666507720947,0.9916666746139526,0.6333333253860474,0.5833333134651184,0.49166667461395264,0.7583333253860474
37,rel_first,F+R,1.0,0.6083333492279053,0.7333333492279053,0.8083333373069763,0.49166667461395264,0.4833333194255829,0.574999988079071
37,rel_first,R+C,1.0,0.5,0.9833333492279053,0.7916666865348816,0.574999988079071,0.4833333194255829,0.75
37,rel_first,F+C,0.75,0.5166666507720947,0.9916666746139526,0.75,0.5833333134651184,0.49166667461395264,0.7583333253860474
37,rel_first,F+R+C,1.0,0.6166666746139526,0.9833333492279053,0.7916666865348816,0.5833333134651184,0.4833333194255829,0.75
