seed,condition,R,RC,FRC,probe_R
11,embedded_branch,0.800000011920929,0.46666666865348816,0.550000011920929,0.8333333134651184
11,graph_on_joint_input,0.7749999761581421,0.4583333432674408,0.5666666626930237,0.875
11,graph_diagnostic_fresh,0.675000011920929,0.4416666626930237,0.5083333253860474,0.824999988079071
11,graph_native_full,0.9083333611488342,0.5166666507720947,0.4833333194255829,0.9583333134651184
11,compat_rep3_head_protocol,0.625,0.40833333134651184,0.4749999940395355,0.0
23,embedded_branch,0.625,0.5333333611488342,0.5083333253860474,0.9083333611488342
23,graph_on_joint_input,0.5083333253860474,0.5249999761581421,0.5249999761581421,0.8333333134651184
23,graph_diagnostic_fresh,0.5583333373069763,0.5333333611488342,0.5249999761581421,0.7333333492279053
23,graph_native_full,0.925000011920929,0.574999988079071,0.5166666507720947,0.9750000238418579
23,compat_rep3_head_protocol,0.5583333373069763,0.4416666626930237,0.5916666388511658,0.0
37,embedded_branch,0.6666666865348816,0.5833333134651184,0.42500001192092896,0.8083333373069763
37,graph_on_joint_input,0.5333333611488342,0.5583333373069763,0.42500001192092896,0.675000011920929
37,graph_diagnostic_fresh,0.5,0.5916666388511658,0.4000000059604645,0.7916666865348816
37,graph_native_full,0.8416666388511658,0.4749999940395355,0.5666666626930237,0.8916666507720947
37,compat_rep3_head_protocol,0.7083333134651184,0.42500001192092896,0.4166666567325592,0.0
