seed,condition,latency_us,throughput_per_s
11,graph,35.96166665374767,27807.38750593438
11,baseline,68.29949999882956,14641.3956180812
11,depth3,125.36266666150671,7976.856480726534
11,rel_focused,212.27308333133502,4710.912868962805
11,rel_first,164.97650000019348,6061.469360780639
23,graph,48.33324999708566,20689.69084554208
23,baseline,74.1757500024202,13481.494962536572
23,depth3,101.05358334233945,9895.740130385062
23,rel_focused,101.73991666306392,9828.983871804607
23,rel_first,102.99466667068675,9709.240607548947
37,graph,38.57325000656905,25924.701699486028
37,baseline,61.3698333290813,16294.650738869293
37,depth3,105.24908333233422,9501.270399119798
37,rel_focused,115.32225000337348,8671.35353299773
37,rel_first,110.83891667415931,9022.10189350522
