seed,status,relational,feature,contextual,fusion,encoder,head
11,VERIFIED,0.034073727640253175,0.02092936073978225,0.07237383457338961,0.005071933057938341,0.1622328517868559,0.4303252266581207
11,VERIFIED,0.02598210605216848,0.016365258864352646,0.09363329306040157,0.006194420566254234,0.12789669509194335,0.2940969014273082
11,VERIFIED,0.04345017223356718,0.03142992890399019,0.13057834048232544,0.009513224909754233,0.15650806826963104,0.3962172674267814
11,VERIFIED,0.025557884029981746,0.019999359569118625,0.12086717043468995,0.00979672097315988,0.12700555841612685,0.3061098285857309
11,VERIFIED,0.02437500269987992,0.019052556382296935,0.052791592188607246,0.006978970190477258,0.1008963507020943,0.2124895723740279
11,VERIFIED,0.09177775098246711,0.07384220722046897,0.21801656525803195,0.023958851595003692,0.36029813949071743,0.4984482174780043
11,VERIFIED,0.11393592249421157,0.13228799380040537,0.42775676316873873,0.04618553502650874,0.7499332858921384,0.7381171931232524
11,VERIFIED,0.2228595814646611,0.18847347483923668,0.45775872898974007,0.06556627508419349,0.8548304760386575,0.6264746148980413
11,VERIFIED,0.19861825325525095,0.17120524384414723,0.41403500498804846,0.0654370987638447,0.6894327532130695,0.7148868572254986
11,VERIFIED,0.18092641365655315,0.2701370523935837,0.57993263394541,0.09131186368456336,0.9648892074129939,0.8963090456456155
11,VERIFIED,0.15351530450419515,0.15772670311926346,0.3456310268238215,0.07432751052421091,0.4426063670295334,0.7967963151970332
11,VERIFIED,0.23931257359450733,0.3521823250923505,0.5713722735161393,0.14364858877783165,0.7981587952509682,0.9425312069470497
11,VERIFIED,0.15265465844683704,0.1619993770131382,0.305046623864131,0.08179852348786933,0.40636250384896344,0.8338256187545657
11,VERIFIED,0.18320197001655486,0.23127970107199813,0.364980447547963,0.09560885732673333,0.4861318180236227,0.8567029273349275
11,VERIFIED,0.16542742709144295,0.2136018940936579,0.3406014534043899,0.0924675294409625,0.4512173673113911,0.8421833989075129
11,VERIFIED,0.19786187888823972,0.2819561834261621,0.3914364094978182,0.11099871237863897,0.5137680025761413,0.8848691279058034
11,VERIFIED,0.190905339593453,0.19871606839810305,0.3299691279880049,0.09958373693105672,0.4221053910575761,0.9023036586872157
11,VERIFIED,0.22121428011189617,0.3251185564608934,0.43423540517524767,0.12959655444588838,0.5792004027392119,0.9654435916570476
11,VERIFIED,0.22903419547807768,0.29846091830643207,0.41654727976553074,0.13633001620012977,0.554359377318888,0.9854257626373877
11,VERIFIED,0.2973859147284603,0.5725871141920982,0.6686617247708877,0.2176804897659468,0.9101131320510361,1.0690545050410283
11,VERIFIED,0.20041098605780902,0.23679130580124128,0.42213697042653103,0.12017893254898197,0.5401551766659656,0.9739780752748938
11,VERIFIED,0.20244728525064115,0.31086258247035525,0.4274730013471241,0.11739754930261397,0.5384334252757244,0.9131997417661126
11,VERIFIED,0.17610926868787316,0.208422987131472,0.35855973367334415,0.08580648533920301,0.39228297884737595,0.8268790727301455
11,VERIFIED,0.1969150403389486,0.44382393927044256,0.5036815982424311,0.12668175964235556,0.6563026436088858,0.9485316212241233
11,VERIFIED,0.17259293518635307,0.21996970167098692,0.35792597730823555,0.08114696197105083,0.4042332447117506,0.8295062857942632
11,VERIFIED,0.15772163062317374,0.23331306859179826,0.3653016341734552,0.08754925247036208,0.4297748592649639,0.8587938731767305
11,VERIFIED,0.20065397890776437,0.46846576343395874,0.513400120770694,0.13762169192758164,0.6969102666156559,0.9973135495074388
11,VERIFIED,0.27877294831691535,0.20403088071059827,0.40711172060914663,0.11096988355300277,0.5057468351105702,0.9587213009299107
11,VERIFIED,0.22133052095440042,0.48329799134736745,0.4933527131302367,0.16046433453362,0.6802194120802334,1.0198819529621939
11,VERIFIED,0.22064178959434697,0.36533054722457925,0.4352500543647228,0.13195868822902715,0.5800052745851972,0.9860590925990754
11,VERIFIED,0.26087338599579035,0.28456940641350387,0.4352630411382049,0.1303240395056651,0.5673460670840582,0.9922860133979037
11,VERIFIED,0.2791925968911861,0.643108113629666,0.5965680253291747,0.20113730444438907,0.8696098488793154,1.085008110207086
11,VERIFIED,0.25357741195188194,0.29154358573884986,0.4241319049306302,0.12751279434568358,0.5498457839925184,0.9643701639216475
11,VERIFIED,0.2518869088946062,0.4623227205698891,0.46963948662886723,0.15391661006974924,0.6417674222276386,1.0063572314928328
11,VERIFIED,0.24485125100573787,0.41912259413202213,0.4547224785631344,0.14360675469227593,0.6004011995018842,0.9841903763701509
11,VERIFIED,0.2454293962072279,0.3507664343231469,0.4337886830583575,0.13084037023780604,0.5464746827034465,0.9548174570194331
11,VERIFIED,0.2645901923846517,0.49769852880213855,0.48728598824277475,0.16729373264387704,0.6566087625229149,1.0091982598727263
11,VERIFIED,0.279933940178738,0.4203011522587657,0.443710544584977,0.172217774987445,0.5947952812476257,0.991072595431206
11,VERIFIED,0.2820545723286312,0.49630687165535703,0.4717104272016524,0.17782466108034473,0.6442905596830972,1.0345408275602235
11,VERIFIED,0.31185164328528964,0.40293550986153615,0.4456710024477169,0.17045354362681434,0.6082310343315847,1.018107545148219
23,VERIFIED,0.08216951029872406,0.07142443218597216,0.11401007746490076,0.013916689985836022,0.2465885648038375,0.5975983448012415
23,VERIFIED,0.01492684152499892,0.0101982033811231,0.09861355826204705,0.005002914178841784,0.13245110750500283,0.3338572668938824
23,VERIFIED,0.0171648032228138,0.015414349034528216,0.06786886934462585,0.003287282943705784,0.1339219683914088,0.29045899634827227
23,VERIFIED,0.07061363958586449,0.06893924219122996,0.19572998082361776,0.02408373617705556,0.2691085441313499,0.4658318424016379
23,VERIFIED,0.04864113112104014,0.03780493985518814,0.318959984784823,0.041598436819725026,0.2682698171522583,0.5045765003480804
23,VERIFIED,0.12397830760407363,0.09562480647685079,0.4575610508382177,0.07857293915800809,0.5686940307801576,0.7887649070972811
23,VERIFIED,0.10266718071708668,0.08557806163850794,0.29511276112649265,0.06001044931392721,0.31812565545060895,0.7171583383345161
23,VERIFIED,0.15779353653500716,0.11843385651539953,0.49529673587452205,0.0960687607017039,0.6683958537438837,1.006608806487007
23,VERIFIED,0.1370737199953506,0.09414008399997072,0.40333646102445914,0.08493945822840138,0.5269631004585767,0.8890554413345592
23,VERIFIED,0.1121670062228903,0.09850219856766818,0.31104441516435916,0.08085061364919706,0.4143475195936321,0.7943419050944595
23,VERIFIED,0.14415744942109526,0.15426627118662156,0.368128552079031,0.09082561764715236,0.5016923269969025,0.888007395889554
23,VERIFIED,0.08866013814238116,0.14292223557454684,0.25953773963287174,0.08100613279782992,0.3316288232680438,0.8563744269005816
23,VERIFIED,0.12087847576029503,0.2418668702280942,0.3773418040674673,0.09101119897247054,0.6289717694614526,0.9240947297041988
