seed,graph_R,graph_RC,baseline_R,baseline_RC,depth3_R,depth3_RC,rel_focused_R,rel_focused_RC,rel_first_R,rel_first_RC,c1_R,c2_R,gdiag_R
11,0.9083333611488342,0.5166666507720947,0.5,0.5083333253860474,0.6000000238418579,0.5166666507720947,0.5333333611488342,0.4000000059604645,0.5583333373069763,0.5249999761581421,0.800000011920929,0.7749999761581421,0.675000011920929
23,0.925000011920929,0.574999988079071,0.6000000238418579,0.5166666507720947,0.6333333253860474,0.5083333253860474,0.6499999761581421,0.5,0.7083333134651184,0.5166666507720947,0.625,0.5083333253860474,0.5583333373069763
37,0.8416666388511658,0.4749999940395355,0.6333333253860474,0.5916666388511658,0.6416666507720947,0.5833333134651184,0.6416666507720947,0.5,0.6166666746139526,0.5833333134651184,0.6666666865348816,0.5333333611488342,0.5
