seed,stage,head_R,drop_R
11,pre,0.5166666507720947,0.0
11,post,0.7583333253860474,0.2750000059604645
23,pre,0.5416666865348816,0.0
23,post,0.6166666746139526,0.05833333730697632
37,pre,0.5083333253860474,0.0
37,post,0.6666666865348816,0.125
